date,alp,lib,nat,green,oth,alp_tpp,l_np_tpp,institute,mode,sample_size,l_np,onp
2012-01-29,34,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2012-01-28,34,NA,NA,12,6,46,54,Galaxy,NA,NA,48,NA
2012-01-22,35,NA,NA,10,7,46,54,Essential,NA,NA,48,NA
2012-01-22,38.5,NA,NA,12,7,51,49,Morgan ,NA,NA,42.5,NA
2012-01-18,35.5,NA,NA,9,9,46.5,53.5,Morgan ,NA,NA,46.5,NA
2012-01-15,35,NA,NA,9,8,46,54,Essential,NA,NA,48,NA
2012-01-08,37,NA,NA,10.5,7.5,48.5,51.5,Morgan ,NA,NA,45,NA
2011-12-18,35,NA,NA,9,8,46,54,Essential,NA,NA,47,NA
2011-12-18,36.5,NA,NA,13,7.5,50,50,Morgan ,NA,NA,43,NA
2011-12-11,34,NA,NA,10,9,45,55,Essential,NA,NA,48,NA
2011-12-10,29,NA,NA,11,11,43,57,Nielsen,NA,NA,49,NA
2011-12-04,31,NA,NA,13,12,46,54,Newspoll,NA,NA,44,NA
2011-12-04,34,NA,NA,10,9,46,54,Essential,NA,NA,47,NA
2011-12-04,36.5,NA,NA,13,7.5,47,53,Morgan ,NA,NA,43,NA
2011-11-27,34,NA,NA,11,8,46,54,Essential,NA,NA,47,NA
2011-11-20,36.5,NA,NA,12,6,48.5,51.5,Morgan ,NA,NA,45.5,NA
2011-11-20,30,NA,NA,10,12,43,57,Newspoll,NA,NA,48,NA
2011-11-20,34,NA,NA,10,7,45,55,Essential,NA,NA,48,NA
2011-11-13,35,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2011-11-13,34.5,NA,NA,11.5,7,46.5,53.5,Morgan ,NA,NA,47,NA
2011-11-12,30,NA,NA,14,12,45,55,Nielsen,NA,NA,45,NA
2011-11-06,32,NA,NA,12,12,47,53,Newspoll,NA,NA,44,NA
2011-11-06,35,NA,NA,9,9,46,54,Essential,NA,NA,46,NA
2011-11-03,34,NA,NA,12.5,8.5,47.5,52.5,Morgan ,NA,NA,45,NA
2011-10-30,34,NA,NA,10,9,45,55,Essential,NA,NA,47,NA
2011-10-30,34,NA,NA,13.5,6,47,53,Morgan ,NA,NA,46.5,NA
2011-10-26,31,NA,NA,12.5,9.6,45,55,Morgan ,NA,NA,47,NA
2011-10-23,35,NA,NA,10.5,5,45.5,54.5,Morgan ,NA,NA,49.5,NA
2011-10-23,29,NA,NA,15,11,46,54,Newspoll,NA,NA,45,NA
2011-10-23,32,NA,NA,11,8,45,55,Essential,NA,NA,48,NA
2011-10-16,36.5,NA,NA,10,9.5,48.5,51.5,Morgan ,NA,NA,44,NA
2011-10-16,29,NA,NA,12,8,42,58,Galaxy,NA,NA,51,NA
2011-10-16,33,NA,NA,11,8,45,55,Essential,NA,NA,48,NA
2011-10-15,30,NA,NA,12,10,43,57,Nielsen,NA,NA,48,NA
2011-10-09,38.5,NA,NA,11,7,50,50,Morgan ,NA,NA,43.5,NA
2011-10-09,29,NA,NA,12,10,43,57,Newspoll,NA,NA,49,NA
2011-10-09,33,NA,NA,10,9,45,55,Essential,NA,NA,48,NA
2011-10-02,33,NA,NA,11,9,45,55,Essential,NA,NA,48,NA
2011-10-02,35.5,NA,NA,10,8,46.5,53.5,Morgan ,NA,NA,46.5,NA
2011-09-25,32,NA,NA,12,8,44,56,Essential,NA,NA,49,NA
2011-09-18,26,NA,NA,13,13,42,58,Newspoll,NA,NA,48,NA
2011-09-18,32,NA,NA,10,9,44,56,Essential,NA,NA,49,NA
2011-09-18,35.5,NA,NA,10,8,44.5,55.5,Morgan ,NA,NA,46.5,NA
2011-09-11,32,NA,NA,10,10,44,56,Essential,NA,NA,49,NA
2011-09-10,27,NA,NA,13,12,42,58,Nielsen,NA,NA,48,NA
2011-09-04,27,NA,NA,12,11,41,59,Newspoll,NA,NA,50,NA
2011-09-04,30,NA,NA,11,10,43,57,Essential,NA,NA,49,NA
2011-09-04,32.5,NA,NA,12.5,8.5,45.5,54.5,Morgan ,NA,NA,46.5,NA
2011-08-28,32,NA,NA,10,8,44,56,Essential,NA,NA,49,NA
2011-08-21,27,NA,NA,14,12,43,57,Newspoll,NA,NA,47,NA
2011-08-21,32,NA,NA,10,8,44,56,Essential,NA,NA,50,NA
2011-08-21,32.5,NA,NA,11,7,44.5,55.5,Morgan ,NA,NA,49.5,NA
2011-08-14,31,NA,NA,10,9,43,57,Essential,NA,NA,50,NA
2011-08-13,28,NA,NA,12,11,42,58,Nielsen,NA,NA,48,NA
2011-08-10,29.5,NA,NA,12,9.5,45.5,54.5,Morgan ,NA,NA,49,NA
2011-08-07,30,NA,NA,10,10,43,57,Newspoll,NA,NA,50,NA
2011-08-07,31,NA,NA,10,9,43,57,Essential,NA,NA,50,NA
2011-08-07,34.5,NA,NA,12,6,46.5,53.5,Morgan ,NA,NA,47.5,NA
2011-08-03,31,NA,NA,13,8,44,56,Galaxy,NA,NA,48,NA
2011-07-31,31,NA,NA,11,9,44,56,Essential,NA,NA,49,NA
2011-07-24,29,NA,NA,13,11,44,56,Newspoll,NA,NA,47,NA
2011-07-24,32,NA,NA,11,9,45,55,Essential,NA,NA,48,NA
2011-07-24,34.5,NA,NA,12,6.5,47,53,Morgan ,NA,NA,47,NA
2011-07-17,31,NA,NA,11,9,44,56,Essential,NA,NA,49,NA
2011-07-16,26,NA,NA,11,15,39,61,Nielsen,NA,NA,51,NA
2011-07-14,27.5,NA,NA,10.5,9.5,40,60,Morgan ,NA,NA,52.5,NA
2011-07-10,33.5,NA,NA,11.5,7,45.5,54.5,Morgan ,NA,NA,48,NA
2011-07-10,27,NA,NA,12,12,42,58,Newspoll,NA,NA,49,NA
2011-07-10,30,NA,NA,11,9,43,57,Essential,NA,NA,50,NA
2011-07-03,32,NA,NA,11,9,44,56,Essential,NA,NA,49,NA
2011-07-02,31.5,NA,NA,11.5,8,43.5,56.5,Morgan ,NA,NA,49,NA
2011-06-26,30,NA,NA,11,13,45,55,Newspoll,NA,NA,46,NA
2011-06-26,32,NA,NA,11,9,45,55,Essential,NA,NA,48,NA
2011-06-19,35,NA,NA,11.5,7,46.5,53.5,Morgan ,NA,NA,46.5,NA
2011-06-19,32,NA,NA,12,9,45,55,Essential,NA,NA,47,NA
2011-06-16,27,NA,NA,12,12,41,59,Nielsen,NA,NA,49,NA
2011-06-13,34,NA,NA,12,8,46,54,Essential,NA,NA,46,NA
2011-06-12,31,NA,NA,11,12,45,55,Newspoll,NA,NA,46,NA
2011-06-05,33.5,NA,NA,12,8,46,54,Morgan ,NA,NA,46.5,NA
2011-06-05,34,NA,NA,12,8,47,53,Essential,NA,NA,46,NA
2011-06-02,30,NA,NA,9.5,10.5,42,58,Morgan ,NA,NA,50,NA
2011-05-29,34,NA,NA,12,8,46,54,Essential,NA,NA,47,NA
2011-05-29,34,NA,NA,14,8,48,52,Newspoll,NA,NA,44,NA
2011-05-29,36,NA,NA,12,6.5,48.5,51.5,Morgan ,NA,NA,45.5,NA
2011-05-22,34,NA,NA,12,8,47,53,Essential,NA,NA,46,NA
2011-05-15,36,NA,NA,13,6.5,48.5,51.5,Morgan ,NA,NA,44.5,NA
2011-05-15,33,NA,NA,10,11,46,54,Newspoll,NA,NA,46,NA
2011-05-15,36,NA,NA,11,7,48,52,Essential,NA,NA,46,NA
2011-05-14,31,NA,NA,10,13,44,56,Nielsen,NA,NA,47,NA
2011-05-08,34,NA,NA,11,7,45.5,54.5,Morgan ,NA,NA,48,NA
2011-05-08,35,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2011-05-04,34,NA,NA,11,9,46.5,53.5,Morgan ,NA,NA,46,NA
2011-05-01,33,NA,NA,12,11,47,53,Newspoll,NA,NA,44,NA
2011-05-01,35,NA,NA,9,9,46,54,Essential,NA,NA,47,NA
2011-05-01,37,NA,NA,10.5,6.5,48,52,Morgan ,NA,NA,46,NA
2011-04-26,35,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2011-04-17,35,NA,NA,11,8,46,54,Essential,NA,NA,47,NA
2011-04-17,35,NA,NA,11.5,7.5,47,53,Morgan ,NA,NA,46,NA
2011-04-16,31,NA,NA,12,11,44,56,Nielsen,NA,NA,47,NA
2011-04-10,35,NA,NA,11,8,47,53,Essential,NA,NA,46,NA
2011-04-03,36.5,NA,NA,9.5,6,46.5,53.5,Morgan ,NA,NA,48,NA
2011-04-03,32,NA,NA,12,12,45,55,Newspoll,NA,NA,45,NA
2011-04-03,36,NA,NA,10,8,47,53,Essential,NA,NA,46,NA
2011-03-27,35.5,NA,NA,11.5,6,47,53,Morgan ,NA,NA,47,NA
2011-03-27,37,NA,NA,10,7,48,52,Essential,NA,NA,46,NA
2011-03-24,34.5,NA,NA,10,8.5,46,54,Morgan ,NA,NA,47,NA
2011-03-20,39.5,NA,NA,12.5,8,52.5,47.5,Morgan ,NA,NA,40,NA
2011-03-20,36,NA,NA,12,12,51,49,Newspoll,NA,NA,40,NA
2011-03-20,36,NA,NA,10,8,47,53,Essential,NA,NA,46,NA
2011-03-17,35.5,NA,NA,12,10,49,51,Morgan ,NA,NA,42.5,NA
2011-03-13,38,NA,NA,11.5,6,49.5,50.5,Morgan ,NA,NA,44.5,NA
2011-03-13,35,NA,NA,10,8,46,54,Essential,NA,NA,47,NA
2011-03-12,33,NA,NA,12,10,46,54,Nielsen,NA,NA,45,NA
2011-03-10,31.5,NA,NA,10,11,44,56,Morgan ,NA,NA,47.5,NA
2011-03-06,37,NA,NA,9.5,7,48,52,Morgan ,NA,NA,46.5,NA
2011-03-06,30,NA,NA,15,10,46,54,Newspoll,NA,NA,45,NA
2011-03-06,36,NA,NA,10,7,47,53,Essential,NA,NA,47,NA
2011-02-27,41,NA,NA,11.5,6.5,53.5,46.5,Morgan ,NA,NA,41,NA
2011-02-27,37,NA,NA,10,7,48,52,Essential,NA,NA,45,NA
2011-02-23,36,NA,NA,9.5,9,47,53,Morgan ,NA,NA,45.5,NA
2011-02-20,36,NA,NA,13,10,50,50,Newspoll,NA,NA,41,NA
2011-02-20,39,NA,NA,11,7,49,51,Essential,NA,NA,43,NA
2011-02-20,39.5,NA,NA,11.5,6,51,49,Morgan ,NA,NA,43,NA
2011-02-13,40,NA,NA,10,6,50,50,Essential,NA,NA,44,NA
2011-02-12,32,NA,NA,12,9,46,54,Nielsen,NA,NA,46,NA
2011-02-06,32,NA,NA,14,10,48,52,Newspoll,NA,NA,44,NA
2011-02-06,38,NA,NA,10,7,49,51,Essential,NA,NA,46,NA
2011-02-06,39,NA,NA,12.5,5.5,51.5,48.5,Morgan ,NA,NA,43,NA
2011-02-03,35,NA,NA,12,10.5,49,51,Morgan ,NA,NA,42.5,NA
2011-01-30,37,NA,NA,11,7,49,51,Essential,NA,NA,45,NA
2011-01-23,37,NA,NA,11,7,49,51,Essential,NA,NA,45,NA
2011-01-23,40.5,NA,NA,11.5,6.5,52.5,47.5,Morgan ,NA,NA,41.5,NA
2011-01-16,38,NA,NA,10,6,48,52,Essential,NA,NA,46,NA
2011-01-09,38.5,NA,NA,13,4.5,50.5,49.5,Morgan ,NA,NA,44,NA
2010-12-19,38,NA,NA,10,7,48,52,Essential,NA,NA,46,NA
2010-12-12,38,NA,NA,13.5,5.5,50,50,Morgan ,NA,NA,43,NA
2010-12-12,31,NA,NA,13.5,9.5,45.5,54.5,Morgan ,NA,NA,46,NA
2010-12-12,38,NA,NA,10,7,48,52,Essential,NA,NA,46,NA
2010-12-05,40.5,NA,NA,13.5,5.5,53,47,Morgan ,NA,NA,40.5,NA
2010-12-05,34,NA,NA,14,11,50,50,Newspoll,NA,NA,41,NA
2010-12-05,38,NA,NA,11,6,49,51,Essential,NA,NA,45,NA
2010-11-28,38,NA,NA,11,7,49,51,Essential,NA,NA,44,NA
2010-11-28,40.5,NA,NA,12,5.5,52.5,47.5,Morgan ,NA,NA,42,NA
2010-11-21,36,NA,NA,14,11,52,48,Newspoll,NA,NA,39,NA
2010-11-21,38,NA,NA,10,8,49,51,Essential,NA,NA,45,NA
2010-11-20,35,NA,NA,13,8,49,51,Nielsen,NA,NA,43,NA
2010-11-14,39,NA,NA,10,7,49,51,Essential,NA,NA,45,NA
2010-11-14,41,NA,NA,12,7,54,46,Morgan ,NA,NA,40,NA
2010-11-07,34,NA,NA,13,10,48,52,Newspoll,NA,NA,43,NA
2010-11-07,39,NA,NA,8,7,49,51,Essential,NA,NA,46,NA
2010-10-31,41,NA,NA,8,7,50,50,Essential,NA,NA,44,NA
2010-10-31,43,NA,NA,10.5,6,54,46,Morgan ,NA,NA,40.5,NA
2010-10-24,33,NA,NA,14,10,48,52,Newspoll,NA,NA,43,NA
2010-10-24,41,NA,NA,8,7,50,50,Essential,NA,NA,44,NA
2010-10-23,34,NA,NA,14,8,49,51,Nielsen,NA,NA,43,NA
2010-10-17,40,NA,NA,9,7,50,50,Essential,NA,NA,44,NA
2010-10-17,43,NA,NA,10.5,6,54,46,Morgan ,NA,NA,40.5,NA
2010-10-10,35,NA,NA,14,9,50,50,Newspoll,NA,NA,42,NA
2010-10-10,41,NA,NA,8,7,50,50,Essential,NA,NA,44,NA
2010-10-03,44,NA,NA,12,5.5,55.5,44.5,Morgan ,NA,NA,38.5,NA
2010-10-01,42,NA,NA,8,8,51,49,Essential,NA,NA,44,NA
2010-09-26,42,NA,NA,9,6,51,49,Essential,NA,NA,43,NA
2010-09-19,40.5,NA,NA,13,5.5,53.5,46.5,Morgan ,NA,NA,41,NA
2010-09-19,40,NA,NA,9,6,50,50,Essential,NA,NA,45,NA
2010-09-16,35.5,NA,NA,15,7,50.5,49.5,Morgan ,NA,NA,42.5,NA
2010-09-12,34,NA,NA,14,11,50,50,Newspoll,NA,NA,41,NA
2010-09-12,39,NA,NA,10,6,50,50,Essential,NA,NA,44,NA
2010-09-05,39,NA,NA,11,8,51,49,Essential,NA,NA,43,NA
2010-09-05,40.5,NA,NA,15,5,54.5,45.5,Morgan ,NA,NA,39.5,NA
2010-08-29,38,NA,NA,11,7,50,50,Essential,NA,NA,44,NA
2010-08-26,36,NA,NA,13,11,51,49,Morgan ,NA,NA,40,NA
2016-07-01,35,NA,NA,10,13,49.5,50.5,Newspoll,Landline,4135,42,NA
2016-06-30,34.6,NA,NA,10.7,12,49,51,ReachTEL,Telephone (random),2084,42.8,NA
2016-06-30,34.5,NA,NA,11.5,12,49.5,50.5,Essential,Online (members),1212,42.5,NA
2016-06-29,36,NA,NA,10,11,49,51,Galaxy,Landline,1768,43,NA
2016-06-29,33,NA,NA,13,14,50,50,Ipsos,Telephone (random),1377,40,NA
2016-06-26,37,NA,NA,10,14,51,49,Essential,Online (members),1773,39,NA
2016-06-26,36,NA,NA,9,12,49,51,Newspoll,Landline,1713,43,NA
2016-06-23,33.7,NA,NA,10.5,13.3,49,51,ReachTEL,Telephone (random),2349,42.3,NA
2016-06-22,35,NA,NA,11,12,50,50,Galaxy,Landline,NA,42,NA
2016-06-19,37,NA,NA,10,13,51,49,Essential,Online (members),1013,40,NA
2016-06-19,36,NA,NA,10,13,50,50,Newspoll,Landline,1805,41,NA
2016-06-16,33.6,NA,NA,9.1,13.7,49,51,ReachTEL,Telephone (random),2576,43.5,NA
2016-06-16,33,NA,NA,14,14,51,49,Ipsos,Telephone (random),1437,39,NA
2016-06-12,37,NA,NA,10,12,51,49,Essential,Online (members),1784,41,NA
2016-06-09,33.2,NA,NA,9.9,14.3,50,50,ReachTEL,Telephone (random),2175,42.7,NA
2016-06-05,36,NA,NA,10,13,50,50,Essential,Online (members),1772,41,NA
2016-06-05,35,NA,NA,10,15,50,50,Newspoll,Landline,1867,40,NA
2016-06-02,34.9,NA,NA,10.1,13.5,50,50,ReachTEL,Telephone (random),2414,41.5,NA
2016-06-02,36,NA,NA,13,9,51,49,Ipsos,Telephone (random),1359,42,NA
2016-05-29,35,NA,NA,9,15,49,51,Essential,Online (members),1767,41,NA
2016-05-29,32.5,NA,NA,13,17,51,49,Morgan,In person and SMS,3099,37.5,NA
2016-05-26,36.5,NA,NA,9.6,12.8,52,48,ReachTEL,Telephone (random),2700,41.1,NA
2016-05-22,37,NA,NA,9,13,51,49,Essential,Online (members),1794,41,NA
2016-05-22,36,NA,NA,11,12,51,49,Newspoll,Landline,NA,41,NA
2016-05-19,36.6,NA,NA,9.9,10.9,50,50,ReachTEL,Telephone (random),2407,42.6,NA
2016-05-19,34,NA,NA,14,9,49,51,Ipsos,Telephone (random),1497,43,NA
2016-05-15,33,NA,NA,15.5,15,52.5,47.5,Morgan,In person and SMS,2318,36.5,NA
2016-05-15,38,NA,NA,9,11,51,49,Essential,Online (members),1784,42,NA
2016-05-08,35,NA,NA,12,10,50,50,Lonergan,Landline and mobile,1841,42,NA
2016-05-08,38,NA,NA,10,10,51,49,Essential,Online (members),1754,42,NA
2016-05-08,37,NA,NA,11,11,51,49,Newspoll,Landline,NA,41,NA
2016-05-07,33,NA,NA,14,9,49,51,Ipsos,Telephone (random),1410,44,NA
2016-05-06,36,NA,NA,11,11,50,50,Galaxy,NA,1739,42,NA
2016-05-05,35.1,NA,NA,9.5,12.2,50,50,ReachTEL,Telephone (random),2450,43.2,NA
2016-05-01,38,NA,NA,10,12,52,48,Essential,Online (members),1753,40,NA
2016-05-01,32.5,NA,NA,13.5,14,51,49,Morgan,In person and SMS,2951,40,NA
2016-04-24,39,NA,NA,10,11,52,48,Essential,Online (members),1740,40,NA
2016-04-17,36,NA,NA,11,12,51,49,Newspoll,Landline,NA,41,NA
2016-04-17,36,NA,NA,11,11,50,50,Essential,Online (members),1753,42,NA
2016-04-17,32,NA,NA,14,13.5,50,50,Morgan,In person and SMS,3083,40.5,NA
2016-04-16,33,NA,NA,14,11,50,50,Ipsos,Telephone (random),1402,42,NA
2016-04-14,35.8,NA,NA,9.8,10.9,50,50,ReachTEL,Telephone (random),2415,43.5,NA
2016-04-10,35,NA,NA,11,12,50,50,Essential,Online (members),1792,42,NA
2016-04-03,36,NA,NA,11,12,51,49,Newspoll,Landline,NA,41,NA
2016-04-03,31,NA,NA,13,14,47.5,52.5,Morgan,In person and SMS,3174,42,NA
2016-03-21,34.4,NA,NA,10.5,8.6,48,52,ReachTEL,Telephone (random),3274,46.6,NA
2016-03-20,34,NA,NA,12,11,49,51,Newspoll,Landline,NA,43,NA
2016-03-20,38,NA,NA,10,9,50,50,Essential,Online (members),1790,43,NA
2016-03-20,33,NA,NA,14,13,50.5,49.5,Morgan,In person and SMS,2948,40,NA
2016-03-12,31,NA,NA,14,10,47,53,Ipsos,NA,NA,45,NA
2016-03-06,35,NA,NA,12,10,50,50,Newspoll,NA,NA,43,NA
2016-03-06,37,NA,NA,10,10,50,50,Essential,NA,NA,43,NA
2016-03-06,29.5,NA,NA,13,14.5,47,53,Morgan,NA,NA,43,NA
2016-02-28,38,NA,NA,10,9,50,50,Essential,NA,NA,43,NA
2016-02-21,35,NA,NA,12,10,50,50,Newspoll,NA,NA,43,NA
2016-02-21,35,NA,NA,10,11,48,52,Essential,NA,NA,44,NA
2016-02-21,29.5,NA,NA,15,12,47.5,52.5,Morgan,NA,NA,43.5,NA
2016-02-13,32,NA,NA,15,10,48,52,Ipsos,NA,NA,44,NA
2016-02-11,32.8,NA,NA,10.1,9,46,54,ReachTEL,NA,NA,48.1,NA
2016-02-07,35,NA,NA,10,10,48,52,Essential,NA,NA,44,NA
2016-02-07,29,NA,NA,16,11.5,47.5,52.5,Morgan,NA,NA,43.5,NA
2016-01-31,34,NA,NA,11,9,47,53,Newspoll,NA,NA,46,NA
2016-01-24,28,NA,NA,15,13.5,45,55,Morgan,NA,NA,43.5,NA
2016-01-21,31.8,NA,NA,10.8,9.1,45,55,ReachTEL,NA,NA,48.5,NA
2016-01-18,35,NA,NA,10,12,49,51,Essential,NA,NA,44,NA
2016-01-10,29,NA,NA,13,11,44,56,Morgan,NA,NA,47,NA
2015-12-15,35,NA,NA,10,10,48,52,Essential,NA,NA,45,NA
2015-12-13,27,NA,NA,14.5,10.5,42.5,57.5,Morgan,NA,NA,48,NA
2015-12-08,36,NA,NA,11,10,49,51,Essential,NA,NA,44,NA
2015-12-06,33,NA,NA,12,10,47,53,Newspoll,NA,NA,45,NA
2015-12-01,35,NA,NA,11,10,49,51,Essential,NA,NA,44,NA
2015-11-29,28.5,NA,NA,14,11,44,56,Morgan,NA,NA,46.5,NA
2015-11-26,31.1,NA,NA,11.2,8.9,45,55,ReachTEL,NA,NA,48.8,NA
2015-11-24,35,NA,NA,10,10,48,52,Essential,NA,NA,45,NA
2015-11-22,33,NA,NA,11,10,47,53,Newspoll,NA,NA,46,NA
2015-11-15,28,NA,NA,14.5,11.5,44,56,Morgan,NA,NA,46,NA
2015-11-14,29,NA,NA,13,10,43,57,Ipsos,NA,NA,48,NA
2015-11-10,35,NA,NA,10,11,48,52,Essential,NA,NA,45,NA
2015-11-08,34,NA,NA,10,10,47,53,Newspoll,NA,NA,46,NA
2015-11-03,34,NA,NA,11,10,47,53,Essential,NA,NA,45,NA
2015-11-01,28.5,NA,NA,14.5,10,43.5,56.5,Morgan,NA,NA,47,NA
2015-10-27,35,NA,NA,11,9,48,52,Essential,NA,NA,45,NA
2015-10-25,35,NA,NA,11,9,48,52,Newspoll,NA,NA,45,NA
2015-10-22,33,NA,NA,11.3,9.1,47,53,ReachTEL,NA,NA,46.7,NA
2015-10-20,36,NA,NA,11,9,49,51,Essential,NA,NA,44,NA
2015-10-18,27.5,NA,NA,15.5,10.5,44,56,Morgan,NA,NA,46.5,NA
2015-10-17,30,NA,NA,14,10,46,54,Ipsos,NA,NA,45,NA
2015-10-13,36,NA,NA,10,10,49,51,Essential,NA,NA,44,NA
2015-10-11,35,NA,NA,12,10,50,50,Newspoll,NA,NA,43,NA
2015-10-05,27.5,NA,NA,14,11.5,44,56,Morgan,NA,NA,47,NA
2015-10-04,35,NA,NA,10,10,48,52,Essential,NA,NA,44,NA
2015-09-28,35,NA,NA,11,11,48,52,Essential,NA,NA,44,NA
2015-09-21,37,NA,NA,11,9,50,50,Essential,NA,NA,43,NA
2015-09-20,29.5,NA,NA,13,11.5,45,55,Morgan,NA,NA,46,NA
2015-09-20,35,NA,NA,11,10,49,51,Newspoll,NA,NA,44,NA
2015-09-16,36,NA,NA,11,9,49,51,Galaxy,NA,NA,44,NA
2015-09-15,35.9,NA,NA,11.9,8.9,50,50,ReachTEL,NA,NA,43.3,NA
2015-09-13,36.5,NA,NA,16,12.5,57,43,Morgan,NA,NA,35,NA
2015-09-06,35.5,NA,NA,16.5,11.5,55,45,Morgan,NA,NA,36.5,NA
2015-09-06,39,NA,NA,12,10,54,46,Newspoll,NA,NA,39,NA
2015-08-30,38,NA,NA,11,12,52,48,Essential,NA,NA,40,NA
2015-08-27,37.5,NA,NA,13.4,8.9,53,47,ReachTEL,NA,NA,40.3,NA
2015-08-23,36,NA,NA,14,11.5,54.5,45.5,Morgan,NA,NA,38.5,NA
2015-08-23,39,NA,NA,13,10,54,46,Newspoll,NA,NA,38,NA
2015-08-15,36,NA,NA,16,11,56,44,Ipsos,NA,NA,38,NA
2015-08-14,38,NA,NA,10,11,52,48,Essential,NA,NA,41,NA
2015-08-09,37,NA,NA,15.5,11,57,43,Morgan,NA,NA,36.5,NA
2015-08-09,39,NA,NA,13,9,54,46,Newspoll,NA,NA,39,NA
2015-08-07,39,NA,NA,11,9,53,47,Essential,NA,NA,40,NA
2015-08-06,38.3,NA,NA,12.8,8.7,53,47,ReachTel,NA,NA,40.2,NA
2015-07-31,38,NA,NA,12,10,53,47,Essential,NA,NA,39,NA
2015-07-30,38,NA,NA,12.9,8.6,53,47,ReachTel,NA,NA,40.6,NA
2015-07-26,35.5,NA,NA,15,10.5,54,46,Morgan,NA,NA,39,NA
2015-07-19,39,NA,NA,12,9,53,47,Newspoll,NA,NA,40,NA
2015-07-17,38,NA,NA,11,11,52,48,Essential,NA,NA,41,NA
2015-07-12,34.5,NA,NA,13.5,10.5,51,49,Morgan,NA,NA,41.5,NA
2015-07-05,37,NA,NA,13,10,52,48,Newspoll,NA,NA,40,NA
2015-07-04,35,NA,NA,16,10,53,47,Ipsos,NA,NA,39,NA
2015-06-28,36,NA,NA,14,11,53.5,46.5,Morgan,NA,NA,39,NA
2015-06-16,34,NA,NA,14,12,51,49,Newspoll,NA,NA,40,NA
2015-06-16,39,NA,NA,10,9,52,48,Essential,NA,NA,42,NA
2015-06-14,37.5,NA,NA,13.5,11.5,54.5,45.5,Morgan,NA,NA,37.5,NA
2015-06-13,37,NA,NA,14,10,53,47,Ipsos,NA,NA,40,NA
2015-06-13,40,NA,NA,9,10,52,48,Essential,NA,NA,41,NA
