institute,date,nd,pasok,kke,syriza,laos,other,none,unsure,sample_size,ecologist_greens,golden_dawn,dimar,democratic_alliance,parmap,anel,dixa,drassi,potami,kinima,kidiso,union_of_centrists,popular_unity,disi,ant,pe,el,kinal,mera25
Pulse RC/To Pontiki,2012-05-29,27,14.5,5.5,27,1.5,NA,NA,NA,1615,1,5.5,5.5,NA,NA,7.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC/Epikaira,2012-05-29,26.5,12.5,5.5,30,1,NA,NA,NA,1000,1.5,4.5,7.5,NA,NA,7.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2012-05-29,26.6,15.3,6.7,25.1,2.3,NA,NA,NA,NA,0.6,4.8,5.8,NA,NA,8.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Global Link/Pressing,2012-05-28,27,13.3,6.7,24.1,1.4,NA,NA,NA,NA,1.7,6.6,7,NA,NA,7.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco/Proto Thema,2012-05-25,28.2,15.4,6.2,25.2,NA,NA,NA,NA,1000,1.7,5.1,5.1,NA,NA,7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC/Typos tis Kyriakis,2012-05-24,26.5,15.5,5,26,1.5,NA,NA,NA,NA,1,5.5,5.5,NA,NA,7.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2012-05-24,28.9,14.6,7.1,22.5,2.2,NA,NA,NA,NA,2.4,5.8,5.9,NA,NA,6.1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass/metro,2012-05-24,27.6,15.3,5.6,25.1,0.9,NA,NA,NA,1003,2.1,4.4,7.3,NA,NA,6.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/ANT1,2012-05-24,27,14.8,5.2,27.2,1.2,NA,NA,NA,NA,1.6,4.9,6.2,NA,NA,7.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Ethnos,2012-05-24,27.7,15.2,5.5,25.5,1.7,NA,NA,NA,1075,1.8,4.4,6.3,NA,NA,7.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC/Kontra Channel,2012-05-24,26,12.5,5,28.5,0.5,NA,NA,NA,1015,2,5.5,7,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB/Real News,2012-05-23,27.1,14.7,5.2,25.6,1.1,NA,NA,NA,1002,1.1,5.2,6.1,NA,NA,7.7,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Data RC/pelop.gr,2012-05-23,29.4,13.3,5.8,28.8,0.4,NA,NA,NA,1019,1.4,6.4,4.1,NA,NA,6.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/Skai–Kathimerini,2012-05-23,26,15.5,5,30,NA,NA,NA,NA,1214,NA,4,6.5,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco/Proto Thema,2012-05-18,26.3,15.3,5.9,24.3,1.7,NA,NA,NA,1000,1.1,4.3,6.8,1.4,NA,8.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Crisis Monitor,2012-05-17,23.8,17.4,5.8,25.1,1.8,NA,NA,NA,1207,NA,4.8,6.3,NA,NA,7.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB/Real News,2012-05-17,24.4,14.5,5.9,23.8,1.3,NA,NA,NA,1006,2.3,5.8,6.9,1.7,NA,8.5,1.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/Skai–Kathimerini,2012-05-17,24,15,5,28,NA,NA,NA,NA,1015,1.5,4.5,7,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2012-05-17,26.1,14.9,5.8,23.7,1.5,NA,NA,NA,1027,1.8,4.8,6.3,1.6,NA,8.1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC/To Pontiki,2012-05-16,21.5,15.5,6,24.5,2,NA,NA,NA,1206,2,6,6,2,NA,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass/Eleftheros Typos,2012-05-16,23.1,13.4,6.3,24.9,2.2,NA,NA,NA,1203,1.5,4.2,7.1,2.9,NA,8.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass/Eleftheros Typos,2012-05-11,22.4,13.6,5.5,23.7,2.3,NA,NA,NA,1002,2.1,4.4,7.2,2.8,NA,9,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2012-05-10,20.3,13.7,7.3,23,2.7,NA,NA,NA,1007,2.8,6.5,5.6,2.8,NA,9.2,2.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Ependytis,2012-05-10,21.7,14.6,5.3,25.5,1.8,NA,NA,NA,NA,2.6,4.7,5.4,1.9,NA,10.5,1.8,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2012-05-09,20.3,12.6,7,27.7,2.3,NA,NA,NA,1021,1.7,5.7,4.9,1.5,NA,10.2,1.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2015-01-25,26.5,NA,5.5,35.5,NA,NA,NA,NA,6000,NA,6.5,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2015-01-23,29.6,5.5,5.4,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,3.9,NA,NA,5.5,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2015-01-23,NA,4.6,5.2,35.9,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,3.7,NA,NA,7.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2015-01-23,29.9,4.7,4.7,36.6,NA,NA,NA,NA,1005,NA,6.7,NA,NA,NA,2.7,NA,NA,6.1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2015-01-23,31.7,5.4,5.2,35.2,NA,NA,NA,NA,1019,NA,6.4,NA,NA,NA,NA,NA,NA,5.8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2015-01-23,28.5,5.5,NA,NA,NA,NA,NA,NA,1048,NA,6.5,0.5,NA,NA,NA,NA,NA,7.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-23,30.1,5.1,4.2,37.6,NA,NA,NA,NA,1000,NA,6.2,1.1,NA,NA,4.1,NA,NA,6.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2015-01-23,25.5,4.5,NA,36.5,NA,NA,NA,NA,1019,NA,6.5,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2015-01-23,NA,NA,NA,NA,NA,NA,NA,NA,1033,NA,6.5,0.5,NA,NA,3.5,NA,NA,7.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2015-01-23,NA,4.5,NA,36.5,NA,NA,NA,NA,2509,NA,NA,NA,NA,NA,3.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2015-01-22,NA,5.5,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2015-01-22,29.6,4.9,5.6,36.3,NA,NA,NA,NA,NA,NA,5.6,1.1,NA,NA,3.8,NA,NA,6.5,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2015-01-22,NA,4.5,5.5,NA,NA,NA,NA,NA,1221,NA,7.5,NA,NA,NA,3.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUEB-STAT,2015-01-22,NA,NA,NA,33.9,NA,NA,NA,NA,5593,NA,6.1,0.6,NA,NA,4.3,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2015-01-21,29.2,4.7,5.9,34.5,NA,NA,NA,NA,1003,NA,5.6,NA,NA,NA,4.2,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2015-01-21,28.7,4.4,4.9,36.8,NA,NA,NA,NA,1153,NA,6.9,1.1,NA,NA,3.4,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2015-01-21,30.7,NA,4.9,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,4.2,NA,NA,7.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2015-01-21,32.5,5.3,4.6,34.7,NA,NA,NA,NA,1008,NA,5.8,0.8,NA,NA,2.9,NA,NA,5.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2015-01-21,NA,5.5,NA,NA,NA,NA,NA,NA,1010,NA,6.5,0.5,NA,NA,3.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ProRata,2015-01-20,27.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.5,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2015-01-20,30.5,NA,5.5,NA,NA,NA,NA,NA,1207,NA,6.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2015-01-20,30.3,4.5,6.2,35.1,NA,NA,NA,NA,1003,NA,5.1,NA,NA,NA,3.5,NA,NA,7.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2015-01-20,29.6,5.1,NA,33.3,NA,NA,NA,NA,1000,NA,6.1,NA,NA,NA,4.3,NA,NA,6.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-20,31.4,4.6,4.8,37.1,NA,NA,NA,NA,1000,NA,5.3,1.2,NA,NA,3.5,NA,NA,6.5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2015-01-19,30.1,5.8,5.5,34.7,NA,NA,NA,NA,1202,NA,5.9,1.1,NA,NA,3.4,NA,NA,5.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2015-01-18,29.5,NA,NA,36.5,NA,NA,NA,NA,1014,NA,NA,0.5,NA,NA,3.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2015-01-18,30.2,4.4,4.4,32.4,NA,NA,NA,NA,1008,NA,5.1,0.7,NA,NA,2.2,NA,NA,5.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2015-01-17,30.4,4.5,5.6,33.9,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,4.2,NA,NA,5.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-17,NA,4.8,4.8,37.2,NA,NA,NA,NA,1000,NA,5.6,NA,NA,NA,3.8,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ToThePoint,2015-01-15,30.6,6.5,6.5,34.6,NA,NA,NA,NA,1002,NA,6.6,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2015-01-15,30.2,4.9,6.1,34.7,NA,NA,NA,NA,1003,NA,5.9,NA,NA,NA,4.1,NA,NA,7.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2015-01-15,NA,4.1,4.7,35.2,NA,NA,NA,NA,1000,NA,5.8,0.8,NA,NA,2.1,NA,NA,5.9,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2015-01-15,31.8,5.7,5.5,35.3,NA,NA,NA,NA,1037,NA,5.3,NA,NA,NA,3.1,NA,NA,6.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2015-01-15,30.8,4.2,5.1,35.4,NA,NA,NA,NA,1405,NA,5.4,NA,NA,NA,NA,NA,NA,7.1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2015-01-15,NA,NA,5.5,34.5,NA,NA,NA,NA,1098,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2015-01-15,30.5,NA,NA,35.5,NA,NA,NA,NA,1009,NA,6.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2015-01-14,NA,6.5,NA,34.5,NA,NA,NA,NA,1205,NA,6.5,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUEB-STAT,2015-01-14,28.6,6.4,5.8,33.4,NA,NA,NA,NA,6589,NA,5.5,NA,NA,NA,3.8,NA,NA,6.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2015-01-13,31.8,4.7,NA,34.3,NA,NA,NA,NA,1000,NA,5.2,1.2,NA,NA,2.3,NA,NA,6.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-13,32.4,4.2,4.7,36.4,NA,NA,NA,NA,1000,NA,5.8,NA,NA,NA,NA,NA,NA,5.9,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2015-01-12,32.1,4.2,5.2,35.6,NA,NA,NA,NA,1002,NA,5.7,NA,NA,NA,3.2,NA,NA,6.8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2015-01-12,29.5,3.5,6.5,34.5,NA,NA,NA,NA,1025,NA,6.5,0.5,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2015-01-11,31.8,4.9,4.9,34.1,NA,NA,NA,NA,1000,NA,6.1,0.2,NA,NA,NA,NA,NA,6.6,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Data RC,2015-01-09,29.5,4.1,NA,35.3,NA,NA,NA,NA,1025,NA,5.2,NA,NA,NA,2.7,NA,NA,7.1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-09,33.1,4.7,4.4,36.9,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,2.6,NA,NA,5.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2015-01-09,31.6,5.5,5.2,34.4,NA,NA,NA,NA,1005,NA,5.9,1.4,NA,NA,2.5,NA,NA,5.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2015-01-09,30.5,6.5,NA,34.5,NA,NA,NA,NA,1183,NA,6.5,NA,NA,NA,3.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2015-01-09,NA,5.5,NA,NA,NA,NA,NA,NA,1005,NA,5.5,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2015-01-08,31.1,4.4,5.9,34.8,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,1.9,NA,NA,5.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2015-01-08,29.9,6.1,5.9,NA,NA,NA,NA,NA,1010,NA,6.3,NA,NA,NA,3.1,NA,NA,7.6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2015-01-08,32.3,NA,5.7,35.5,NA,NA,NA,NA,1003,NA,6.2,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2015-01-08,30.1,5.5,5.7,33.7,NA,NA,NA,NA,1009,NA,5.4,1.1,NA,NA,3.1,NA,NA,6.8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2015-01-08,NA,4.1,5.3,34.1,NA,NA,NA,NA,1607,NA,5.6,NA,NA,NA,3.5,NA,NA,8.4,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2015-01-08,30.3,4.4,5.7,33.9,NA,NA,NA,NA,1007,NA,6.3,NA,NA,NA,3.1,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2015-01-08,NA,3.5,5.5,NA,NA,NA,NA,NA,1119,NA,7.5,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2015-01-07,29.4,5.8,6.6,33.1,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,3.1,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ProRata,2015-01-07,NA,3.5,6.5,37.5,NA,NA,NA,NA,1145,NA,5.5,NA,NA,NA,2.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2015-01-06,NA,6.5,NA,NA,NA,NA,NA,NA,1287,NA,6.5,NA,NA,NA,3.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2015-01-06,30.5,4.4,5.6,32.9,NA,NA,NA,NA,NA,NA,6.9,0.2,NA,NA,2.1,NA,NA,7.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2015-01-06,34.1,4.3,4.5,37.7,NA,NA,NA,NA,1000,NA,4.9,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2015-01-03,NA,NA,5.5,35.5,NA,NA,NA,NA,1006,NA,6.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E-Voice,2015-01-02,30.1,4.3,5.5,34.1,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,3.3,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-31,30.5,NA,6.1,33.3,NA,NA,NA,NA,NA,NA,6.1,0.9,NA,NA,2.4,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2014-12-30,33.2,4.3,5.8,NA,NA,NA,NA,NA,1002,NA,4.6,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-12-30,29.5,4.5,NA,34.5,NA,NA,NA,NA,1011,NA,NA,0.5,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-12-28,28.9,5.3,6.2,32.3,NA,NA,NA,NA,1017,NA,6.8,1.2,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-12-28,NA,4.5,NA,NA,NA,NA,NA,NA,1029,NA,NA,NA,NA,NA,3.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-27,29.1,6.4,6.5,NA,NA,NA,NA,NA,NA,NA,6.8,0.7,NA,NA,2.4,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-12-24,30.3,7.5,7.1,33.3,NA,NA,NA,NA,1005,NA,6.7,NA,NA,NA,3.1,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-12-23,27.9,5.1,NA,31.9,NA,NA,NA,NA,1003,NA,6.4,1.4,NA,NA,3.7,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-12-22,27.5,NA,NA,32.5,NA,NA,NA,NA,1019,NA,NA,NA,NA,NA,4.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-12-21,30.9,5.7,5.2,NA,NA,NA,NA,NA,1000,NA,6.4,NA,NA,NA,3.7,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-12-21,29.5,7.5,NA,33.5,NA,NA,NA,NA,1003,NA,6.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PatrisNews,2014-12-21,24.4,8.7,4.6,32.2,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,4.2,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-20,30.3,6.2,6.3,33.3,NA,NA,NA,NA,1000,NA,5.5,1.1,NA,NA,2.2,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2014-12-18,29.3,5.7,6.5,33.5,NA,NA,NA,NA,1002,NA,5.4,NA,NA,NA,3.5,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2014-12-17,28.4,5.5,6.4,32.5,NA,NA,NA,NA,NA,NA,6.6,1.6,NA,NA,3.4,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK,2014-12-17,NA,5.5,5.5,35.5,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,3.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2014-12-17,29.5,NA,NA,36.5,NA,NA,NA,NA,1010,NA,NA,NA,NA,NA,3.5,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis,2014-12-16,NA,4.5,NA,34.5,NA,NA,NA,NA,1024,NA,6.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-15,30.3,6.1,NA,33.6,NA,NA,NA,NA,NA,NA,5.8,1.1,NA,NA,2.2,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2014-12-15,27.8,6.1,6.6,33.7,NA,NA,NA,NA,1202,NA,NA,NA,NA,NA,3.3,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCitizens,2014-12-14,NA,4.5,7.1,33.7,NA,NA,NA,NA,800,NA,8.8,1.4,NA,NA,3.5,NA,NA,6.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-12-13,28.5,8.5,NA,32.5,NA,NA,NA,NA,1004,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-12-13,26.7,NA,6.4,30.8,NA,NA,NA,NA,1014,NA,5.7,1.9,NA,NA,3.6,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-12,30.5,6.5,5.5,NA,NA,NA,NA,NA,1000,NA,4.6,1.5,NA,NA,2.6,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-12-12,30.3,6.3,5.5,34.8,NA,NA,NA,NA,1000,NA,7.1,NA,NA,NA,3.7,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2014-12-11,28.4,8.4,7.3,NA,NA,NA,NA,NA,1014,NA,7.4,NA,NA,NA,3.4,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-10,30.5,5.7,6.7,34.2,NA,NA,NA,NA,1004,NA,5.2,0.8,NA,NA,2.1,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ProRata,2014-12-10,NA,NA,6.5,NA,NA,NA,NA,NA,1008,NA,6.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-12-10,28.6,5.8,5.6,32.8,NA,NA,NA,NA,1000,NA,5.6,NA,NA,NA,3.4,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2014-12-10,25.9,6.6,6.5,NA,NA,NA,NA,NA,2000,NA,6.4,1.5,NA,NA,3.8,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2014-12-09,29.6,NA,5.5,35.7,NA,NA,NA,NA,1000,NA,6.9,NA,NA,NA,4.2,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-12-06,26.5,NA,6.5,32.5,NA,NA,NA,NA,1007,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interview,2014-12-05,30.4,6.5,5.5,NA,NA,NA,NA,NA,1005,NA,4.6,1.7,NA,NA,2.6,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2014-12-03,27.8,5.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2014-11-29,NA,NA,6.5,32.5,NA,NA,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
