institute,date,nd,pasok,kke,syriza,laos,other,none,unsure,sample_size,ecologist_greens,golden_dawn,dimar,democratic_alliance,parmap,anel,dixa,drassi,potami,kinima,kidiso,union_of_centrists,popular_unity,disi,ant,pe,el,kinal,mera25
Metrisi,2013-06-17,27.3,6.6,7.4,26.7,NA,NA,NA,NA,NA,NA,13.3,6.2,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-06-13,28.2,6.5,NA,27.9,NA,NA,NA,NA,1003,NA,11.4,6.4,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2013-06-13,27.4,8.1,6.5,NA,NA,NA,NA,NA,1003,NA,12.1,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2013-06-13,26.5,NA,NA,NA,NA,NA,NA,NA,1004,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2013-06-11,29.5,6.5,NA,27.5,NA,NA,NA,NA,1028,NA,11.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2013-06-06,27.9,6.4,5.8,25.6,NA,NA,NA,NA,1009,NA,13.4,6.2,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-06-04,25.5,7.5,NA,NA,NA,NA,NA,NA,1229,NA,16.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2013-05-27,26.2,8.2,7.1,NA,NA,NA,NA,NA,1200,NA,12.4,6.3,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2013-05-24,30.6,5.9,5.7,27.6,NA,NA,NA,NA,1005,NA,11.5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-05-24,27.7,6.4,5.7,24.6,NA,NA,NA,NA,1000,NA,12.2,4.5,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2013-05-19,27.3,5.4,5.9,26.1,NA,NA,NA,NA,NA,NA,12.8,5.7,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2013-05-15,27.5,6.5,6.5,NA,NA,NA,NA,NA,1031,NA,11.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-05-13,27.3,NA,5.7,26.1,NA,NA,NA,NA,1002,NA,11.8,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUEB-STAT,2013-05-12,25.1,7.3,7.2,24.9,NA,NA,NA,NA,6093,NA,14.4,5.9,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-04-26,26.5,7.1,6.3,25.7,NA,NA,NA,NA,1000,NA,NA,4.8,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2013-04-24,NA,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-04-17,NA,NA,5.5,26.2,NA,NA,NA,NA,NA,NA,10.7,5.6,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2013-04-13,26.8,7.9,6.9,27.3,NA,NA,NA,NA,NA,NA,11.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-04-13,27.3,6.7,6.4,27.5,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-04-09,25.5,NA,6.5,NA,NA,NA,NA,NA,NA,NA,15.5,4.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2013-04-09,28.5,NA,5.5,27.5,NA,NA,NA,NA,1033,NA,NA,6.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2013-04-01,25.9,9.6,7.4,25.9,NA,NA,NA,NA,1200,NA,11.5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-03-29,26.5,8.4,6.9,25.7,NA,NA,NA,NA,1000,NA,11.8,5.2,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2013-03-28,27.5,6.9,5.8,NA,NA,NA,NA,NA,1008,NA,11.3,6.8,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-03-28,27.8,6.8,5.9,27.9,NA,NA,NA,NA,1001,NA,11.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2013-03-21,26.3,NA,6.5,27.1,NA,NA,NA,NA,NA,NA,13.3,4.8,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2013-03-21,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-03-20,25.2,NA,5.5,25.8,NA,NA,NA,NA,1002,NA,11.7,6.3,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi,2013-03-15,28.4,9.2,6.4,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-03-15,27.4,6.8,5.3,28.4,NA,NA,NA,NA,1001,NA,11.7,5.7,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2013-03-12,28.5,7.5,5.5,29.5,NA,NA,NA,NA,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-02-22,NA,6.6,5.5,28.3,NA,NA,NA,NA,1604,NA,12.3,5.4,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-02-19,25.3,8.7,NA,25.9,NA,NA,NA,NA,1000,NA,13.2,5.2,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-02-14,26.4,7.5,6.4,27.6,NA,NA,NA,NA,1003,NA,11.5,5.6,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-02-13,NA,NA,7.5,NA,NA,NA,NA,NA,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-02-12,27.5,9.3,6.2,26.2,NA,NA,NA,NA,1000,NA,12.2,5.2,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2013-02-05,28.5,NA,5.5,NA,NA,NA,NA,NA,1027,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2013-02-04,NA,9.5,6.4,26.6,NA,NA,NA,NA,1200,NA,12.8,6.1,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2013-01-24,NA,NA,6.5,NA,NA,NA,NA,NA,1745,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2013-01-24,29.9,6.2,5.9,29.5,NA,NA,NA,NA,1202,NA,10.3,6.1,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2013-01-24,28.1,9.7,5.9,26.4,NA,NA,NA,NA,1000,NA,10.9,5.4,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2013-01-24,29.2,NA,5.4,27.8,NA,NA,NA,NA,1009,NA,11.6,5.6,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2013-01-24,27.6,8.7,6.6,25.5,NA,NA,NA,NA,1019,NA,12.6,5.8,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2013-01-21,28.2,7.2,5.3,27.9,NA,NA,NA,NA,1054,NA,12.2,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2013-01-18,29.5,6.5,5.5,29.5,NA,NA,NA,NA,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2013-01-17,27.8,7.7,5.4,NA,NA,NA,NA,NA,1006,NA,10.7,5.7,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2013-01-08,NA,NA,5.5,28.5,NA,NA,NA,NA,1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2012-12-21,25.9,7.5,6.3,27.2,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2012-12-20,29.5,6.8,5.7,30.3,NA,NA,NA,NA,1002,NA,10.8,5.9,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2012-12-19,NA,NA,5.9,28.5,NA,NA,NA,NA,NA,NA,12.1,5.6,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2012-12-14,26.9,6.9,5.6,NA,NA,NA,NA,NA,1000,NA,13.3,5.3,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2012-12-10,NA,NA,5.5,30.5,NA,NA,NA,NA,1035,NA,10.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2012-12-06,26.1,7.8,5.4,28.7,NA,NA,NA,NA,2000,NA,12.1,5.7,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2012-12-03,26.5,6.7,5.5,29.5,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2012-11-26,26.2,6.4,5.7,NA,NA,NA,NA,NA,1011,NA,12.4,6.1,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2012-11-26,26.5,NA,6.5,31.5,NA,NA,NA,NA,NA,NA,12.5,5.5,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2012-11-23,23.5,7.5,NA,NA,NA,NA,NA,NA,1212,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2012-11-17,24.9,9.3,5.7,27.6,NA,NA,NA,NA,1200,NA,12.8,6.2,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2012-11-08,23.9,8.8,6.7,27.1,NA,NA,NA,NA,1017,NA,12.2,5.3,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2012-10-30,24.5,NA,NA,NA,NA,NA,NA,NA,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc,2012-10-23,26.4,7.5,5.9,28.8,NA,NA,NA,NA,NA,NA,11.8,6.1,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2012-10-17,NA,5.5,6.5,30.5,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2012-10-17,26.6,8.4,5.3,27.9,NA,NA,NA,NA,1204,NA,10.8,5.9,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2012-09-20,NA,NA,NA,NA,NA,NA,NA,NA,1003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass,2012-09-20,NA,9.5,5.3,26.7,NA,NA,NA,NA,1202,NA,10.8,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2012-09-19,26.1,9.8,5.1,27.7,NA,NA,NA,NA,1002,NA,11.7,6.4,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC,2012-09-05,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC,2012-09-04,27.5,NA,5.5,NA,NA,NA,NA,NA,1204,NA,11.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco,2012-08-31,27.8,10.3,5.3,25.6,NA,NA,NA,NA,1000,NA,9.7,5.8,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2012-07-12,27.8,13.1,5.6,24.4,NA,NA,NA,NA,1003,NA,8.7,6.7,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2012-07-12,28.9,12.3,5.1,26.7,NA,NA,NA,NA,1011,NA,7.5,6.3,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Legislative Election,2012-06-17,29.7,12.3,4.5,26.9,NA,NA,NA,NA,NA,NA,6.9,6.3,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-09-18,29.9,6.3,6,33,NA,NA,NA,NA,1201,NA,6.8,NA,NA,NA,3.2,NA,NA,5.4,NA,NA,3.4,3.3,NA,NA,NA,NA,NA,NA
MRB/Star,2015-09-18,31.9,5.9,5.1,31.8,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,2.8,NA,NA,6,NA,NA,3.6,3.3,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-09-18,31,5.5,5.5,34,NA,NA,NA,NA,1083,NA,7,NA,NA,NA,2,NA,NA,5,NA,NA,3.5,3.5,NA,NA,NA,NA,NA,NA
Palmos Analysis/tvxs,2015-09-18,31.5,5.5,7,32.5,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,2.5,NA,NA,4.5,NA,NA,3,4,NA,NA,NA,NA,NA,NA
MRB/Star,2015-09-18,30.6,5.7,5.7,31.7,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,3.2,NA,NA,6,NA,NA,4,3.9,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2015-09-18,29.5,6.8,6.5,32.4,NA,NA,NA,NA,1200,NA,6.9,NA,NA,NA,3.4,NA,NA,5.5,NA,NA,3.2,4.4,NA,NA,NA,NA,NA,NA
Rass/iefimerida,2015-09-18,30.9,6.7,6.1,31.7,NA,NA,NA,NA,1002,NA,7.5,NA,NA,NA,2.8,NA,NA,4.6,NA,NA,3.4,3.4,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2015-09-18,30.4,5.8,5.8,31.7,NA,NA,NA,NA,1754,NA,6.9,NA,NA,NA,2.9,NA,NA,5.9,NA,NA,4,3.3,NA,NA,NA,NA,NA,NA
ProRata/EfSyn,2015-09-17,28.5,6,6.5,32,NA,NA,NA,NA,1003,NA,8,NA,NA,NA,3,NA,NA,6,NA,NA,4,3,NA,NA,NA,NA,NA,NA
Metron Analysis/ANT1,2015-09-17,31.2,6,6,31.7,NA,NA,NA,NA,1204,NA,7.1,NA,NA,NA,3,NA,NA,5.8,NA,NA,3.1,3.4,NA,NA,NA,NA,NA,NA
Bridging Europe,2015-09-17,27.8,5.3,6.7,31.7,NA,NA,NA,NA,1031,NA,7.1,NA,NA,NA,2.6,NA,NA,4.7,NA,NA,2.4,5.8,NA,NA,NA,NA,NA,NA
Metrisi/Eleftheros Typos,2015-09-17,32.3,5.8,6.1,30.7,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,3.1,NA,NA,5.3,NA,NA,3.5,3.6,NA,NA,NA,NA,NA,NA
Pulse RC/To Pontiki,2015-09-17,30.5,7.5,6,30.5,NA,NA,NA,NA,1605,NA,7.5,NA,NA,NA,2.5,NA,NA,6,NA,NA,3,3.5,NA,NA,NA,NA,NA,NA
Interview/Vergina TV,2015-09-17,33,6.5,6.5,30.5,NA,NA,NA,NA,1000,NA,5.5,NA,NA,NA,2.5,NA,NA,5,NA,NA,4.5,2.5,NA,NA,NA,NA,NA,NA
Alco/NewsIT,2015-09-17,30.3,5.7,7,30.7,NA,NA,NA,NA,1000,NA,7.5,NA,NA,NA,3,NA,NA,5.2,NA,NA,4.5,3.7,NA,NA,NA,NA,NA,NA
AUTH,2015-09-17,29.6,6.1,5.8,31.1,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,2.3,NA,NA,4.9,NA,NA,3,5.4,NA,NA,NA,NA,NA,NA
Public Issue,2015-09-17,30,8,6.5,33,NA,NA,NA,NA,1009,NA,7,NA,NA,NA,2.5,NA,NA,4.5,NA,NA,2.5,3.5,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-09-16,31.9,5.2,6.2,31.6,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,2.7,NA,NA,5.9,NA,NA,3.6,3.4,NA,NA,NA,NA,NA,NA
E-Voice/dikaiologitika.gr,2015-09-16,28.5,5.6,5.6,32.6,NA,NA,NA,NA,1007,NA,8.1,NA,NA,NA,3.5,NA,NA,5.7,NA,NA,2.9,4.7,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-09-16,30.7,6.4,5.9,31.3,NA,NA,NA,NA,1007,NA,7.2,NA,NA,NA,3.2,NA,NA,5.4,NA,NA,3.5,3.8,NA,NA,NA,NA,NA,NA
ProRata/EfSyn,2015-09-15,28,6,6,33,NA,NA,NA,NA,1000,NA,9,NA,NA,NA,3,NA,NA,6,NA,NA,3.5,3.5,NA,NA,NA,NA,NA,NA
GPO/Ethnikos Kirikas,2015-09-15,31.5,6.8,5.8,31.5,NA,NA,NA,NA,1060,NA,6.8,NA,NA,NA,3.4,NA,NA,4.8,NA,NA,3.4,3.6,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-09-15,32,5.5,6,31.5,NA,NA,NA,NA,2214,NA,7,NA,NA,NA,2.5,NA,NA,5.5,NA,NA,4,3,NA,NA,NA,NA,NA,NA
Pulse RC/Action24,2015-09-15,30.5,7.5,6,30,NA,NA,NA,NA,1258,NA,7.5,NA,NA,NA,2.5,NA,NA,6,NA,NA,3,4,NA,NA,NA,NA,NA,NA
Data RC/pelop.gr,2015-09-14,32.7,6.9,6.3,31.7,NA,NA,NA,NA,1063,NA,6.7,NA,NA,NA,3.2,NA,NA,5.6,NA,NA,3.1,3.2,NA,NA,NA,NA,NA,NA
Metron Analysis/ANT1,2015-09-14,31.6,5.3,6.2,31.6,NA,NA,NA,NA,1403,NA,7.2,NA,NA,NA,3,NA,NA,5.9,NA,NA,3.9,3.8,NA,NA,NA,NA,NA,NA
Pulse RC/To Pontiki,2015-09-11,30,7,6,30,NA,NA,NA,NA,1204,NA,7.5,NA,NA,NA,2.5,NA,NA,6,NA,NA,4,4.5,NA,NA,NA,NA,NA,NA
Palmos Analysis/tvxs,2015-09-11,30.5,6,5,33.5,NA,NA,NA,NA,1004,NA,7,NA,NA,NA,3.5,NA,NA,5.5,NA,NA,4.5,3,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2015-09-11,30.1,7,6.7,30.4,NA,NA,NA,NA,1200,NA,7.6,NA,NA,NA,3.5,NA,NA,5.1,NA,NA,3.9,4.2,NA,NA,NA,NA,NA,NA
Bridging Europe,2015-09-11,24.6,3.8,6.6,32.8,NA,NA,NA,NA,1028,NA,7.8,NA,NA,NA,2.6,NA,NA,5.9,NA,NA,2.8,7.8,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-09-11,30,6,6.5,31,NA,NA,NA,NA,2001,NA,7.5,NA,NA,NA,2,NA,NA,5.5,NA,NA,5,3.5,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-09-10,29.2,6.8,6.6,29.7,NA,NA,NA,NA,1008,NA,7.8,NA,NA,NA,3.5,NA,NA,5.6,NA,NA,4,4.7,NA,NA,NA,NA,NA,NA
Alco/Proto Thema,2015-09-10,29.7,6.2,7.4,30.6,NA,NA,NA,NA,1000,NA,7.8,NA,NA,NA,3.1,NA,NA,4.8,NA,NA,4.7,4,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-09-10,31.3,5.2,5.9,31.7,NA,NA,NA,NA,1206,NA,6.2,NA,NA,NA,3,NA,NA,5.5,NA,NA,5.9,3.3,NA,NA,NA,NA,NA,NA
Public Issue,2015-09-10,31,8,6.5,31,NA,NA,NA,NA,1009,NA,7,NA,NA,NA,2,NA,NA,4.5,NA,NA,3,4,NA,NA,NA,NA,NA,NA
ProRata/EfSyn,2015-09-09,28.5,5.5,5.5,34.5,NA,NA,NA,NA,1300,NA,8,NA,NA,NA,3,NA,NA,5,NA,NA,4,3,NA,NA,NA,NA,NA,NA
ProRata/HellasNet,2015-09-09,28.5,5.5,5.5,34,NA,NA,NA,NA,1300,NA,8,NA,NA,NA,3,NA,NA,5,NA,NA,4,3,NA,NA,NA,NA,NA,NA
Pulse RC/Action24,2015-09-08,30,7,6.5,30.5,NA,NA,NA,NA,1319,NA,7.5,NA,NA,NA,2,NA,NA,6,NA,NA,4,4,NA,NA,NA,NA,NA,NA
GPO/Ethnikos Kirikas,2015-09-04,30.5,6.8,5.7,30,NA,NA,NA,NA,1071,NA,7.4,NA,NA,NA,3.6,NA,NA,5.4,NA,NA,4.5,4.8,NA,NA,NA,NA,NA,NA
MRB/Star,2015-09-04,29.6,6.1,5.9,29.6,NA,NA,NA,NA,1003,NA,7.1,NA,NA,NA,2.7,NA,NA,5.4,NA,NA,4.6,4.3,NA,NA,NA,NA,NA,NA
Pulse RC/bankingnews.gr,2015-09-04,29.5,6.5,6,30,NA,NA,NA,NA,1108,NA,7,NA,NA,NA,3,NA,NA,6,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA
Public Issue,2015-09-04,30,8,7.5,28.5,NA,NA,NA,NA,1002,NA,7,NA,NA,NA,2,NA,NA,5.5,NA,NA,3.5,5,NA,NA,NA,NA,NA,NA
Marc/Ethnos,2015-09-04,29.9,5.4,6,30.4,NA,NA,NA,NA,1032,NA,7.4,NA,NA,NA,3.5,NA,NA,6.3,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-09-03,29.3,6.6,6,30,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,3.4,NA,NA,5.8,NA,NA,4,5.3,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-09-03,30,5,6.5,30,NA,NA,NA,NA,1041,NA,7.5,NA,NA,NA,1.5,NA,NA,6,NA,NA,5,4.5,NA,NA,NA,NA,NA,NA
Bridging Europe,2015-09-03,24,3.8,6.8,32.6,NA,NA,NA,NA,1023,NA,7.4,NA,NA,NA,2.4,NA,NA,7.1,NA,NA,2.9,7.5,NA,NA,NA,NA,NA,NA
Pulse RC/To Pontiki,2015-09-02,29.5,6.5,6,30,NA,NA,NA,NA,1105,NA,7.5,NA,NA,NA,3,NA,NA,6,NA,NA,4,5,NA,NA,NA,NA,NA,NA
AUTH,2015-09-02,28.2,4.2,5.5,27.1,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,2.1,NA,NA,5.3,NA,NA,4.8,8.6,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-09-02,30.4,5,6.5,29.6,NA,NA,NA,NA,1207,NA,6.5,NA,NA,NA,2.6,NA,NA,6,NA,NA,5.1,4.3,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2015-09-02,30.9,6.5,6.2,30.5,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,3.7,NA,NA,5.6,NA,NA,3.9,4.9,NA,NA,NA,NA,NA,NA
Alco/NewsIT,2015-09-02,28.7,5.3,6.9,29.2,NA,NA,NA,NA,1000,NA,7.8,NA,NA,NA,2.6,NA,NA,5.5,NA,NA,4.6,4.9,NA,NA,NA,NA,NA,NA
