date,media,institute,kadima,labor,shas,likud,yisrael_beiteinu,ual_taal,hadash,balad,jewish_home,national_union,gil,utj,meretz,greens,likud_yisrael_beiteinu,national_union_jewish_home,yesh_atid,otzma,am_shalem,hatnuah,labor_hatnuah,arabic_list,otzma_yachad,kulanu,blue_white,raam_balad,urwp,hadash_taal,new_right,gesher,zehut,joint_list,yamina,labor_gesher,dem_union,otzma_yehudit,emet,raam,new_hope,religious_zionist,new_economic
2009-02-06,Channel 1,Midgam Research,23,16,10,28,19,4,4,2,3,3,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-06,Channel 10,Dialog,25,14,9,27,19,3,3,2,2,4,0,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-06,Haaretz,Dialog,25,14,9,27,18,3,3,2,2,4,0,6,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-06,Maariv,TNS Teleseker,23,17,10,26,19,4,4,2,3,3,2,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-06,Yedioth Ahronoth,Dahaf,23,16,10,25,19,3,4,2,3,4,0,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-05,Channel 2,Panels,25,14,10,26,18,3,4,2,3,4,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-05,Israel Hayom,Gal Hadash (New Wave),24,16,9,30,17,3,5,0,2,3,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-05,"Israel Radio's ""Hakol Diburim"" (It's All Talk)",Shvakim Panorama,21,16,11,25,16,3,4,2,4,4,2,7,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-04,"Channel 2's ""Mishal Cham""",Maagar Mochot,23,13,10,26,19,2,4,3,3,2,1,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-04,Maariv,TNS Teleseker,23,17,10,27,17,4,4,0,3,4,2,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-02,Channel 1,Midgam Research,23,17,10,28,18,2,4,2,4,3,0,5,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-02,Channel 2,Panels,24,14,11,27,17,4,3,2,3,4,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-30,Maariv,TNS Teleseker,23,17,10,28,16,4,4,0,4,3,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-29,Channel 2,Panels,23,13,10,29,16,4,4,2,3,4,0,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-29,Globes,Geocartography,23,15,10,31,16,0,4,0,3,5,0,6,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-29,Haaretz/Channel 10,Dialog,25,14,10,28,15,4,3,2,3,4,2,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-28,"Israel Radio's ""Hakol Diburim"" (It's All Talk)",Shvakim Panorama,20,16,11,29,16,3,3,3,3,3,2,7,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-27,"Channel 2's ""Mishal Cham""",Maagar Mochot,22,13,10,34,16,3,4,3,3,2,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-26,Channel 2,Panels,22,15,11,29,16,4,4,2,0,5,0,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-25,Channel 1,Midgam Research,22,17,10,30,16,3,3,3,3,3,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-23,Channel 1's Friday Diary,Shvakim Panorama,20,17,11,29,14,3,3,4,3,3,0,7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-23,Maariv,TNS Teleseker,24,16,9,28,16,3,4,2,4,2,0,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-23,Yedioth Ahronoth,Dahaf,25,17,10,29,14,3,4,2,2,3,0,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-22,Channel 2,Panels,24,15,10,30,15,4,3,2,2,4,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-22,Globes,Geocartography,21,15,9,32,16,4,3,3,4,3,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-22,Israel Hayom,Gal Hadash (New Wave),25,15,9,35,12,3,4,2,2,2,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-20,Channel 1,Geocartography,21,15,9,33,13,4,3,3,4,3,0,7,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-20,"Channel 2's ""Mishal Cham""",Maagar Mochot,22,14,11,30,16,2,4,3,2,2,0,5,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-19,Channel 2,Panels,24,14,10,30,15,3,4,2,2,4,0,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-18,Channel 2,Maagar Mochot,23,15,12,31,13,3,4,2,3,1,1,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-18,Channel 10,Dialog,26,14,10,29,14,3,3,2,2,4,0,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-16,Haaretz,Dialog,25,16,9,29,12,3,3,2,3,3,0,6,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-16,Maariv,TNS Teleseker,26,17,9,28,14,4,4,2,3,3,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-15,Channel 2,Panels,27,15,8,29,13,3,4,3,2,4,0,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-15,Globes,Geocartography,22,16,10,33,14,3,3,4,3,0,0,7,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-14,"Israel Radio's ""Hakol Diburim"" (It's All Talk)",Shvakim Panorama,21,15,10,28,15,4,3,3,3,3,0,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-13,"Channel 2's ""Mishal Cham""",Maagar Mochot,26,16,10,28,14,3,4,3,3,2,0,5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-12,Channel 2,Panels,28,13,8,33,13,2,4,3,0,4,0,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-18,NA,Yedioth Ahronot/Dahaf,2,17,11,NA,NA,4,4,3,NA,NA,NA,6,6,NA,32,12,13,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-17,NA,Haaretz/Dialogue,2,17,12,NA,NA,3,5,4,NA,NA,NA,5,6,NA,32,14,12,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-17,NA,Israel Hayom/The New Wave,2,17,11,NA,NA,3,4,3,NA,NA,NA,6,5,NA,35,15,12,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-17,NA,Maariv/Ma'agar Mochot,3,15,12,NA,NA,3,4,3,NA,NA,NA,6,7,NA,37,14,8,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-16,NA,Channel 10/Dialogue,2,16,11,NA,NA,3,4,4,NA,NA,NA,6,6,NA,32,14,11,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-16,NA,Walla!/TNS-Teleseker,3,18,10,NA,NA,4,3,3,NA,NA,NA,6,5,NA,34,15,11,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-15,NA,Channel 2/Dahaf,2,17,11,NA,NA,3,4,3,NA,NA,NA,6,6,NA,33,12,11,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-12,NA,Channel1/Midgam,2,16,10,NA,NA,4,4,3,NA,NA,NA,5,6,NA,33,15,10,3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Yisrael Post/Sof Hashavua,2,17,9,NA,NA,4,3,3,NA,NA,NA,6,5,NA,34,14,11,3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Jerusalem Post/Smith,2,18,10,NA,NA,4,4,3,NA,NA,NA,6,4,NA,34,14,10,NA,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Yediot/Dahaf,2,18,10,NA,NA,4,4,3,NA,NA,NA,5,6,NA,33,14,11,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Yisrael Hayom/New Wave,2,17,11,NA,NA,3,4,4,NA,NA,NA,6,4,NA,35,14,11,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Maariv/Maagar,3,16,12,NA,NA,3,4,3,NA,NA,NA,6,5,NA,38,13,8,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,NA,Geocartography,NA,16.5,11,NA,NA,3,4,5,NA,NA,NA,6,5.5,NA,34,15,12,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,NA,Mako & Channel2/Panels,2,16,10,NA,NA,4,3,4,NA,NA,NA,6,5,NA,33,15,10,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,NA,Reshet Bet/Sarid,2,17,9,NA,NA,3,4,3,NA,NA,NA,7,4,NA,34,14,9,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,NA,Channel 2/Dahaf,2,18,10,NA,NA,4,4,3,NA,NA,NA,5,6,NA,33,14,11,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-09,NA,News1/Reshet Bet/Machon Sarid,2,17,9,NA,NA,3,4,3,NA,NA,NA,7,4,NA,34,14,9,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-08,NA,Walla/TNS-Teleseker,NA,18,11,NA,NA,4,4,2,NA,NA,NA,6,4,NA,34,13,11,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-07,NA,Channel 10/Dialog,2,17,12,NA,NA,4,3,4,NA,NA,NA,6,5,NA,35,14,11,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-07,NA,"Panels Politics, Mako",NA,16,10,NA,NA,11,11,11,NA,NA,NA,6,5,NA,32,16,10,3,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-07,NA,Times of Israel,NA,21,10,NA,NA,12,12,12,NA,NA,NA,6,6,NA,34,15,11,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-03,NA,"Jerusalem Post, Globes/Smith",2,17,10,NA,NA,3,4,4,NA,NA,NA,5,4,NA,32,16,10,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-03,NA,Israel Radio/Geocartography,NA,18,8,NA,NA,11,11,11,NA,NA,NA,7,7,NA,35,18,5,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-02,NA,Haaretz/Dialog,2,16,11,NA,NA,4,4,4,NA,NA,NA,6,4,NA,34,14,9,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-01,NA,Channel 2/Dahaf,NA,17,11,NA,NA,4,4,3,NA,NA,NA,6,5,NA,33,13,11,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-27,NA,Globes/Rafi Smith,NA,18,11,NA,NA,3,4,4,NA,NA,NA,6,4,NA,34,14,10,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-27,NA,Reshet Bet/Meno Geva,NA,16,13,NA,NA,4,4,3,NA,NA,NA,6,5,NA,34,15,9,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-25,NA,Dialog,2,17,13,NA,NA,11,11,11,NA,NA,NA,6,4,NA,35,13,9,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-21,NA,Maariv/Maagar,NA,20,11,NA,NA,4,3,3,NA,NA,NA,6,4,NA,37,12,7,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-20,NA,Reshet Bet,NA,19,11,NA,NA,3,4,3,NA,NA,NA,6,4,NA,36,11,11,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-18,NA,Channel 2/Dahaf,NA,19,11,NA,NA,4,4,3,NA,NA,NA,6,3,NA,35,12,9,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-14,NA,Yedioth Ahronoth/Dahaf,NA,19,11,NA,NA,4,4,3,NA,NA,NA,6,4,NA,35,11,8,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-14,NA,Maariv/Maagar,1,20,12,NA,NA,10,10,10,NA,NA,NA,6,3,NA,38,11,8,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-14,NA,Jerusalem Post/Geocartography,0,17,10,NA,NA,4,4,3,NA,NA,NA,6,6,NA,35,16,12,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-12,NA,Jerusalem Post/Smith Research,0,19,10,NA,NA,3,4,4,NA,NA,NA,6,4,NA,39,10,9,0,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-11,NA,Walla/Tns-Teleseker,4,17,11,NA,NA,5,3,3,NA,NA,NA,5,3,NA,38,9,11,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-10,NA,Haaretz/Dialog,2,17,12,NA,NA,5,4,3,NA,NA,NA,6,3,NA,39,11,6,0,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-06,NA,Channel 2,2,19,13,NA,NA,3,3,3,NA,NA,NA,6,2,NA,38,12,5,1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-06,NA,Reshet Bet/Meno Geva,0,20,10,NA,NA,4,3,4,NA,NA,NA,6,3,NA,36,11,9,3,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-05,NA,Channel 10/Dialog,2,20,10,NA,NA,5,3,3,NA,NA,NA,6,4,NA,37,11,7,0,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-29,NA,Yisrael Hayom/New Wave,2,20,11,NA,NA,3,4,3,NA,NA,NA,5,4,NA,39,10,10,0,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-29,NA,Yedioth Ahronoth/Dahaf,0,19,11,NA,NA,4,4,3,NA,NA,NA,5,5,NA,37,10,9,2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
