institute,date,fr_p,ap,h,kr_f,sv,sp,v,others,sample_size,resp_rate,r,mdg
Norstat,2008-04,24.7,29.4,16.9,7.1,5.9,5.3,8.4,2.3,NA,NA,NA,NA
Response Analyse,2008-04,25.3,31.6,15.7,5.7,7.5,5.5,6.4,2.3,NA,NA,NA,NA
TNS Gallup,2008-04,23.5,31.6,18.2,6.9,6.4,5.2,4.9,3.3,NA,NA,NA,NA
Norstat,2008-05,30.8,26.6,17,6.3,6.9,6.3,5.3,0.8,NA,NA,NA,NA
Response Analyse,2008-05,24.8,28.8,19,6.8,7,4.7,7,1.9,NA,NA,NA,NA
TNS Gallup,2008-05,26.5,26.3,18.4,6,8.3,4.7,6.6,3.2,NA,NA,NA,NA
Sentio-Norsk Statistikk,2008-06,29.3,23.9,17.9,6.7,7.1,5.2,5.2,4.7,NA,NA,NA,NA
Norstat,2008-06,30.6,26,15.8,6.3,6.7,6.3,5.3,3,NA,NA,NA,NA
Response Analyse,2008-06,30.7,26.4,17.8,4.7,6.5,5.3,5.6,3,NA,NA,NA,NA
TNS Gallup,2008-06,28.3,30.3,16.5,7.7,6.1,3.4,5.2,2.5,NA,NA,NA,NA
Norstat,2008-07,30.7,28.1,16.1,5.6,5.7,4.5,5.6,3.7,NA,NA,NA,NA
Norstat,2008-08,32.1,26.2,16.2,5.8,7,5,5.1,2.6,NA,NA,NA,NA
TNS Gallup,2008-08,30.4,29.2,15.4,4.8,5.7,4.2,6.3,4,NA,NA,NA,NA
Norstat,2008-09,30.7,29.3,13.8,6.5,6,5.5,5.4,2.8,NA,NA,NA,NA
Response Analyse,2008-09,31.7,27.9,14.6,5.8,6.1,5.6,5.9,2.4,NA,NA,NA,NA
Norstat,2008-10,26.3,32.2,15.2,5.7,7.5,4.5,5.9,2.8,NA,NA,NA,NA
Norstat,2008-11,27.5,31.1,14.5,6.6,8.5,4.8,5.5,1.5,NA,NA,NA,NA
TNS Gallup,2008-12,21.6,32.4,16.7,5.4,7.9,6.1,5.8,4.1,NA,NA,NA,NA
Response Analyse,2008-12,21.5,32.5,18.2,6.7,7.2,5.9,6.1,0.9,NA,NA,NA,NA
Opinion,2008-12,25.1,27.5,19.1,6.2,7.5,5.4,5.1,4.1,NA,NA,NA,NA
Norstat,2008-12,25.7,30.7,17.1,6.1,8.1,5.3,5.1,1.2,NA,NA,NA,NA
Sentio,2008-12,24,29.9,16.8,6.2,8.5,5.9,5.8,1.4,NA,NA,NA,NA
Opinion,2009-01,28.6,28.7,15.2,5.6,8.1,6,5.1,2.6,NA,NA,NA,NA
Sentio,2009-01,24.5,36.5,13.9,5.9,6.8,5.3,4.5,2.4,NA,NA,NA,NA
Synovate,2009-01,19.5,34.5,16.6,5.2,9.2,5.5,5.4,4.1,NA,NA,NA,NA
Norstat,2009-02,21.6,35.4,15.8,5.2,6.8,5.5,6.6,3,NA,NA,NA,NA
Synovate,2009-02,20.8,35.1,15.6,5.9,8.4,4.7,6.8,2.8,NA,NA,NA,NA
Norstat,2009-02,29.4,33,12.6,5.2,7.1,6.5,5.9,2.5,NA,NA,NA,NA
In fact,2009-03,27.2,32.2,13.2,6.5,6.9,6.6,5,2.4,NA,NA,NA,NA
Norfakta,2009-03,28,31,14.7,6.9,6.9,4.6,4.7,3.8,NA,NA,NA,NA
Norstat,2009-03,30.1,31.3,14.1,5.7,6.6,5,5.3,1.9,NA,NA,NA,NA
Norstat,2009-03,29.7,31.7,13.3,7.3,6.9,5,3.7,2.3,NA,NA,NA,NA
Opinion,2009-03,30.9,28.4,13.2,5.6,6.4,6.8,6.1,2.6,NA,NA,NA,NA
Response Analyse,2009-03,25.4,32.8,14.2,6.1,6,5.9,6.5,3.2,NA,NA,NA,NA
Sentio,2009-03,26.9,32.9,14.7,6.5,6.1,5.7,4.5,2.7,NA,NA,NA,NA
Synovate,2009-03,23.7,36.2,11.5,4.7,9.9,5.5,5,3.4,NA,NA,NA,NA
TNB,2009-03,27.4,32.4,13.9,6.1,7,5.6,5,2.7,NA,NA,NA,NA
TNS Gallup/TV2,2009-03,24.7,35.5,15.6,5.2,7,5.1,4.5,2.6,NA,NA,NA,NA
Sentio/BT,2009-04-02,29.6,31.5,13.3,5.9,7.1,5.3,4.7,2.6,NA,NA,NA,NA
TNS Gallup/TV2,2009-04-02,26,35.7,12.6,5.1,7.7,5.9,3.4,3.5,NA,NA,NA,NA
Norstat/NRK,2009-04-09,26.4,31.7,13.7,7.2,7,6.8,4.6,2.7,NA,NA,NA,NA
In fact/VG,2009-04-17,25.8,29.1,17.6,6,7.2,5.1,5.2,4,NA,NA,NA,NA
Sentio/DN,2009-04-17,28.4,29.7,13.9,9,5.7,5.3,5,3,NA,NA,NA,NA
Norfakta/Nationen/Klassekampen,2009-04-18,27.7,33.6,14.1,6.6,5.5,4.7,5.3,2.5,NA,NA,NA,NA
Opinion/ANB,2009-04-23,28.5,29.1,13.9,7.6,5.9,5.8,6.2,3,NA,NA,NA,NA
Opinion/ANB,2009-04-23,30.3,34.5,10.8,4.8,6.5,6.5,4.2,2.3,NA,NA,NA,NA
Synovate/Dagbladet,2009-04-25,25.2,35.2,14,7.3,6.4,6,3.9,2.1,NA,NA,NA,NA
TNS Gallup/TV2,2009-05-04,24.2,33,14.3,5.3,8.9,4.2,5.9,4.2,NA,NA,NA,NA
Norstat/NRK,2009-05-07,27.7,34.1,11.9,6.5,6.7,5.8,5.9,1.5,NA,NA,NA,NA
Norfakta/Nationen/Klassekampen,2009-05-09,26.9,31.1,13.9,6.5,8.2,6.1,4.8,3.3,NA,NA,NA,NA
Opinion/ANB,2009-05-14,28.5,29,13,5.9,7.1,4.3,8.7,3.3,NA,NA,NA,NA
Sentio/DN,2009-05-15,30.3,31.5,13.2,5.8,6.3,4,5.8,3,NA,NA,NA,NA
Response/Aftenposten,2009-05-15,24,35.8,15.3,5.3,5.8,4.7,5.9,3.2,NA,NA,NA,NA
Response/VG,2009-05-15,25.9,33.3,15.9,6.5,6,6,3.7,2.5,NA,NA,NA,NA
Response/Aftenposten,2009-06-12,26.1,35.4,13.5,5.8,5.5,4.3,5.6,3.8,NA,NA,NA,NA
Sentio/DN,2009-06-13,29.3,23.9,17.9,6.5,7.1,5.2,5.2,4.9,NA,NA,NA,NA
Norstat/V̴rt Land,2009-06-26,28.6,29.4,13.4,5.7,8.3,6.3,5.9,2.4,NA,NA,NA,NA
Norfakta,2009-07-06,29.8,32.6,13,5.7,6.7,5.3,4.6,2.4,NA,NA,NA,NA
NA,9-2013,16,29.4,27,6.1,5,5.1,5.5,6,NA,NA,NA,NA
NA,8-2013,15.2,29,28.9,5.4,4.3,5.3,5.3,6.5,NA,NA,NA,NA
NA,7-2013,16.2,28,31.6,5.2,3.9,4.6,5.2,5.5,NA,NA,NA,NA
NA,6-2013,16.4,28.6,32,5.3,4.3,4.5,4.2,4.6,NA,NA,NA,NA
NA,5-2013,16,28.9,31.8,5.3,4.7,4.5,4.7,4.2,NA,NA,NA,NA
NA,4-2013,16.5,27.7,32.6,5.1,5,4.8,4.5,3.8,NA,NA,NA,NA
NA,3-2013,16.8,28.1,32.4,4.7,4.4,4.8,5.2,3.5,NA,NA,NA,NA
NA,2-2013,15.6,28.4,32.9,5.3,4.9,4.7,4.5,3.6,NA,NA,NA,NA
NA,1-2013,15.9,28.6,33.6,5.5,4.1,4.4,4.4,3.2,NA,NA,NA,NA
NA,12-2012,16.2,28.6,32,5.3,4.3,4.7,5.2,3.5,NA,NA,NA,NA
NA,11-2012,17,29.6,31.4,5,4.4,4.5,4.9,3,NA,NA,NA,NA
NA,10-2012,17.2,27.8,33.9,5,4.1,4.4,4.5,3.2,NA,NA,NA,NA
NA,9-2012,16.6,29.2,33.5,5.2,3.9,4.3,3.9,3.4,NA,NA,NA,NA
NA,8-2012,17.3,30.2,31.6,4.6,4,4.4,4.7,3.3,NA,NA,NA,NA
NA,7-2012,18.4,29.8,30.5,5,3.9,4.8,4.4,2.9,NA,NA,NA,NA
NA,6-2012,16.2,29.9,32,4.7,4.3,4.7,4.8,3.4,NA,NA,NA,NA
NA,5-2012,16,30.8,30.9,5.1,4.2,4.6,4.7,3.6,NA,NA,NA,NA
NA,4-2012,17.3,30.5,29.4,5.1,4.5,5.1,5.2,3,NA,NA,NA,NA
NA,3-2012,16.3,32.9,27.9,5.4,4.5,5.3,4.6,3.1,NA,NA,NA,NA
NA,2-2012,14.4,34.4,27.9,5.1,4.8,5.1,5.3,2.9,NA,NA,NA,NA
NA,1-2012,13.7,34.7,29.3,5.3,4.1,5,4.9,3,NA,NA,NA,NA
Kantar TNS,9 Sep 2017,14.6,28.1,23.8,4.4,5.6,10.2,4.6,1.7,2998,81.8,3.1,3.9
Kantar TNS,8 Sep 2017,15.2,28.6,23.4,4.3,5.5,10.5,3.9,1.3,2002,81.9,3.3,4
InFact,7 Sep 2017,12.6,28,21.5,4.7,8.1,10.7,5.2,1.5,2165,NA,3.3,4.4
Opinion Perduco,7 Sep 2017,15.3,26.4,25.9,3.4,6,8.6,2.5,1.3,952,82,4.9,5.7
Kantar TNS,7 Sep 2017,15.2,28.1,23.4,5,5.7,10.1,4.1,1.8,2003,81.1,3,3.7
Norfakta,6 Sep 2017,13.8,26.3,25.8,5.3,5,10.5,4.2,0,1001,80,3.1,4.5
Ipsos MMI,6 Sep 2017,15.3,27.2,23.2,4.2,6.2,9.4,4.7,2.1,971,NA,3.5,4.4
Respons Analyse,6 Sep 2017,14.3,25.6,24.7,5.5,7.3,9.9,4.5,2.4,1000,NA,3.1,2.7
Kantar TNS,6 Sep 2017,14.8,27,24.8,4.5,5.7,10.3,4.3,2,2004,NA,2.9,3.7
Kantar TNS,5 Sep 2017,14.7,27.5,24.4,4.4,5.7,9.6,4.7,2,2007,79.9,3.6,3.4
InFact,4 Sep 2017,12.8,29.3,23.4,5.1,5.5,10,3.9,2.3,2103,NA,3.8,3.9
Norstat,4 Sep 2017,17,25.8,24.2,4.5,5.9,9.6,3.5,1.6,1421,82.8,3.2,4.6
Kantar TNS,4 Sep 2017,14.3,26.5,24.5,4.4,5.1,10.9,4.8,2.2,1905,NA,3.4,3.8
Kantar TNS,1 Sep 2017,14.7,26.1,26.1,3.8,4.8,11,4.3,2.2,2008,80.2,3.6,3.5
InFact,31 Aug 2017,13,29,21.5,5.5,6.6,11.2,3.4,2,2032,NA,3.1,4.8
Kantar TNS,31 Aug 2017,14.9,27.1,25,4.1,5.3,11.1,3.8,2.4,1991,80.2,3.3,3.2
Respons Analyse,30 Aug 2017,16.6,26.1,23.9,5.4,6.2,8.8,4.9,1,1003,NA,2.4,4.7
Kantar TNS,30 Aug 2017,15.4,26.7,24.7,4.2,5.9,11.1,3.6,2,1997,80.8,2.8,3.5
Norstat,29 Aug 2017,16.7,25.6,24.2,4.9,5.2,10.3,3.1,1.7,932,NA,3.8,5.2
Kantar TNS,29 Aug 2017,16.3,25.7,25.1,4.2,6.5,10.4,3.9,1.7,1789,79.3,2.6,3.6
Norstat,28 Aug 2017,15,24.4,25.7,6,6.1,10.6,3.3,2,987,NA,2.7,4.2
Kantar TNS,28 Aug 2017,16,26.5,24,4,6.5,11.2,3.7,1.6,1891,79.2,2.6,3.9
Kantar TNS,25 Aug 2017,16.7,26.8,24.2,3.7,5.7,11.2,3.1,1.2,1694,79.2,2.9,4.6
InFact,23 Aug 2017,12,27.6,22.2,5.3,6.6,12,3.6,2.3,2043,NA,3.6,4.9
Ipsos MMI,23 Aug 2017,15,29.5,23.3,4.4,5.9,10,3.4,2.1,933,NA,3.8,2.6
Kantar TNS,23 Aug 2017,15.4,27.9,23.3,3.2,5.5,12.1,3.2,1.5,1070,NA,3.1,4.7
Respons Analyse,23 Aug 2017,15.5,27.3,25.1,4.5,4.5,10.8,3.7,1.5,1000,NA,3.2,3.9
Norstat,21 Aug 2017,14.2,29,22.4,5.1,5.5,9.5,4,3.1,774,NA,2.7,4.4
Sentio,20 Aug 2017,13.1,27,24.2,5.3,5.1,11.1,4.1,1.6,1000,71.6,2.5,6.1
Kantar TNS,18 Aug 2017,12.7,28.4,23.8,5.3,6.4,10.5,3.5,2.2,976,75.6,3.8,3.4
InFact,17 Aug 2017,12.1,30.5,21.9,5.2,5.6,10.9,4.1,2.4,2030,NA,3.7,3.9
Norstat,14 Aug 2017,16.7,27.1,23.8,5,5.2,9.2,3.9,2.7,756,NA,1.8,4.6
Kantar TNS,11 Aug 2017,13.7,30.3,21.5,3.9,3.6,12.6,4.4,2.1,977,75.6,4.7,3.1
Respons Analyse,10 Aug 2017,13.6,28.1,24.8,5.1,6.4,10.1,3.6,1.9,1001,NA,2.7,3.7
Opinion Perduco,7 Aug 2017,12.3,30,24.9,6,4.1,10.8,3.2,1.5,950,72,2.9,4.3
Norfakta,2 Aug 2017,13.8,31.9,26.1,4.7,4.6,9.5,3.1,2.5,1006,NA,1.8,2.1
InFact,2 Aug 2017,12.6,30,22.7,5.2,5.2,11.9,3.2,2.3,2015,NA,3.2,3.6
Norfakta,5 Jul 2017,14.7,32.2,22.9,5.2,4.6,9.7,3.3,1.7,1002,78,1.8,3.9
InFact,4 Jul 2017,11.9,31.9,21.1,4.6,4.5,13,3.5,2.7,2016,NA,2.8,4.1
Norstat,26 Jun 2017,15.2,30.6,23.3,4.1,4.3,11.7,3.4,1.7,935,NA,1.8,3.9
Sentio,22 Jun 2017,11.6,30.6,24.2,4.8,4.3,11.3,3.6,2.8,1000,71.1,3.3,3.9
Ipsos MMI,21 Jun 2017,12.8,31.7,23.1,3.9,4.7,12.2,4,1.2,1005,NA,3.3,3.2
Kantar TNS,16 Jun 2017,13.7,32.2,22.3,4.5,3.5,14.5,2.8,1.9,971,75.4,2.6,2.1
Respons Analyse,14 Jun 2017,14,31.7,24.1,4.7,4.8,9.8,3.5,2,1002,74,2.3,3.1
Opinion Perduco,12 Jun 2017,12,32.6,23.1,5.3,4.1,12.8,3.5,1.3,935,72,1.6,3.8
Norfakta,7 Jun 2017,14.4,28.5,25.5,4.4,4.7,12.1,3,1.8,1002,NA,2.5,3.2
InFact,7 Jun 2017,12.5,32.3,20.5,4.8,4.5,11.3,3.2,3.3,2072,NA,3.5,3.6
Norstat,5 Jun 2017,14,33,23.7,4.4,4.3,11.6,3.4,1.6,927,NA,1.2,2.8
InFact,31 May 2017,10.9,34.8,21.2,4.8,4.6,12.8,3,2.6,1014,NA,2.5,2.8
Norstat,29 May 2017,15.9,31,22.7,4.2,3.4,12.5,3.1,2.5,926,NA,1.7,2.9
Ipsos MMI,25 May 2017,14.3,31.2,24.2,5.2,3.9,9.2,4.3,2.5,929,NA,2.5,2.7
Sentio,22 May 2017,11,30.9,24.1,3.8,4.3,15.3,3.2,1.6,1000,70.6,2.8,3.1
Opinion Perduco,15 May 2017,15.1,29.4,21.8,5.5,4.1,12.1,2.9,2.1,951,75,3.8,3.1
Respons Analyse,10 May 2017,16.1,30.9,23.9,4.4,3.8,11.4,3.4,1.4,1000,78,2.1,2.6
Kantar TNS,9 May 2017,11.6,33.1,23.6,3.7,4.4,15,2.8,1.6,973,75.3,1.7,2.1
Norstat,8 May 2017,12.8,32,24,5.2,4.4,11.2,3.2,2.4,935,NA,2.2,2.6
Norfakta,3 May 2017,13,33.7,23.9,5,3.7,11,3.2,1.4,1002,NA,2.3,2.9
InFact,3 May 2017,11.2,32.6,21.6,5.5,4.4,12.7,3.9,2,2020,NA,3,3
Norstat,1 May 2017,11.7,32.6,24.3,4.3,4.5,12.8,2.1,1.4,942,NA,3.3,3
Ipsos MMI,26 Apr 2017,12.9,33.5,21.9,4.9,4.5,11.1,4.3,0.6,933,NA,3.9,2.4
Sentio,24 Apr 2017,11.4,32.8,25.1,4.5,4.1,13.1,3.1,1.3,1000,66.8,2,2.5
Opinion Perduco,11 Apr 2017,13.1,30.5,25.1,4.2,4.8,11.3,4.3,2.1,953,73,2,2.5
InFact,10 Apr 2017,12.9,31.7,19.3,6,4.9,13.5,3.7,2.4,2052,NA,2.5,3
Norfakta,5 Apr 2017,14.3,32.2,23.8,3.8,3.8,10.7,3.6,2.2,1000,75,2.7,2.8
Respons Analyse,5 Apr 2017,13.2,30.5,23.6,5.7,5.4,11.5,3.6,1.6,1000,NA,2.3,2.6
Kantar TNS,4 Apr 2017,12.1,28.9,24.2,3.9,4.7,15.8,3.2,1.9,975,NA,1.7,3.1
Norstat,3 Apr 2017,12.3,33.4,23.7,5.1,4.7,11.3,3.7,1.6,932,NA,1.5,2.6
Ipsos MMI,29 Mar 2017,10.6,30.9,25.3,5.3,3.9,13.4,4.2,1.6,950,NA,2.5,2.4
Norstat,27 Mar 2017,15.8,30.8,20.6,4.5,5,14.3,2.7,1.3,953,NA,2.5,2.5
Sentio,20 Mar 2017,10.8,34.1,22.7,5,4.2,12.3,3.9,0.7,1000,68.4,2.8,3.6
InFact,15 Mar 2017,11.1,33.7,20.1,5.1,4.2,14.3,4.3,1.8,1020,NA,2.8,2.7
Opinion Perduco,13 Mar 2017,14.3,29.5,26.3,5.5,5.4,9.3,3.8,1.9,954,71,1.5,2.2
Kantar TNS,9 Mar 2017,13.5,32.5,23.7,5.4,4.7,11.1,3.6,1.4,1055,79.7,2.5,2.1
Norfakta,8 Mar 2017,12.6,34.4,25.3,4.2,4.5,8.9,3.3,2,1000,74,2.7,2.5
InFact,8 Mar 2017,11.1,35.6,20.8,4.9,4.3,11,5.1,2.3,2030,NA,1.8,3.1
Respons Analyse,8 Mar 2017,11.4,32,24.8,5.4,4.6,10.7,3.7,1.3,1001,NA,2.6,3.5
Norstat,6 Mar 2017,14.4,32.8,22.4,4.6,4.4,10.9,3.9,2.5,927,NA,2,2.9
Norstat,27 Feb 2017,13.2,31.2,23.8,5.4,3.4,10.9,3.9,2.3,952,NA,3.2,2.7
Ipsos MMI,22 Feb 2017,14.1,31.6,23.8,5.2,3.8,11.4,3.5,1.2,947,NA,3,2.2
Sentio,20 Feb 2017,14.1,30.2,23.7,5.3,3.9,11.4,5.3,2.1,1000,65,1.7,2.2
Opinion Perduco,13 Feb 2017,14.2,33.5,23.2,4.4,4,9.6,4,1.2,918,73,3.3,2.6
Kantar TNS,8 Feb 2017,15.7,33.2,22.1,3.8,3.9,9.9,3.9,1.6,981,72.7,2,3.8
Norfakta,8 Feb 2017,12.7,33.9,25,5.6,3.7,9.6,3.9,1.5,1002,76,1.6,2.4
Respons Analyse,8 Feb 2017,13.4,34.8,24.4,4.6,4.3,9.1,3.8,1.5,NA,NA,1.8,2.3
Norstat,6 Feb 2017,13,33,24.6,5.8,5.1,8.6,3.4,2.3,935,NA,1.1,3.1
InFact,2 Feb 2017,13.2,33,21,5.4,4.8,10.2,4.4,2.1,2031,NA,2.4,3.3
Norstat,30 Jan 2017,16,34.3,22.6,4.2,3.8,8.6,3.5,1.6,935,NA,1.9,3.6
Ipsos MMI,25 Jan 2017,14.8,35.3,22.9,4.9,5,8,3.7,1,944,NA,1.5,2.9
Sentio,23 Jan 2017,12.1,35.7,22.8,5.4,5.1,9.3,4.3,1,1000,68.3,2.7,1.6
Opinion Perduco,16 Jan 2017,16.3,34,23.3,5.6,3.6,8.3,3.7,0.6,944,74,2,2.7
Respons Analyse,11 Jan 2017,15.4,35.3,23.3,5,3.1,7.1,4.1,1.7,1002,NA,2.6,2.4
InFact,9 Jan 2017,12,36.9,20.9,5.4,4.7,8.9,3.2,2.6,2003,NA,2.2,3.2
Norstat,9 Jan 2017,15.2,36.1,24.5,5.1,4.1,6.1,3.9,1.1,944,NA,1.5,2.4
Kantar TNS,6 Jan 2017,13.6,32.7,24.5,5.3,4.7,8.4,4.9,1.4,967,NA,2.6,1.9
Norfakta,4 Jan 2017,11.8,37.8,25.3,4.8,4.2,6.2,4.2,1.1,1000,75,1.9,2.6
Norstat,19 Dec 2016,15.7,34.1,22,6.2,4.2,6.3,3.8,2.6,963,NA,2.1,2.9
Ipsos MMI,14 Dec 2016,13,37.8,23.3,4,3.4,6.8,4.8,2.1,932,NA,1.5,2.9
Sentio,13 Dec 2016,13.7,36.8,23.3,4.8,3.6,8,3.5,1.6,1000,NA,1.9,2.8
Norfakta,7 Dec 2016,14.1,38.7,21.6,5.2,5.1,7.3,2.7,1.6,1010,77,1.5,2.3
Respons Analyse,7 Dec 2016,14.2,34.1,24.9,4.4,4.5,7.5,4.7,1.1,1000,79,2.2,2.4
Opinion Perduco,5 Dec 2016,13.4,35.8,24.7,5.2,4.3,6.4,4.1,1.3,962,72,2.4,2.4
Kantar TNS,2 Dec 2016,13.3,37.2,23,4.3,3.9,6,4,2.1,978,79.7,1.7,4.5
InFact,1 Dec 2016,12,36.9,19.9,5.2,4.8,8.4,4.5,2.1,2007,NA,2.6,3.5
Norstat,28 Nov 2016,16.5,33.8,25,4.2,5,7.2,4.1,1.1,971,NA,1.3,1.7
Norstat,21 Nov 2016,13.7,34.7,24.8,4.5,3.4,7.6,4.7,2.4,972,NA,1.6,2.5
Ipsos MMI,16 Nov 2016,14.1,35.6,24.8,4,3.7,6.3,4.5,0.4,929,NA,3.1,3.5
InFact,16 Nov 2016,12.1,38.1,19.7,5.4,4.4,8.8,4.2,1.7,2040,NA,2,3.6
Sentio,14 Nov 2016,10.4,38.4,23.5,5.9,3.8,7.7,3.5,2.1,1000,68.7,1.3,3.4
Opinion Perduco,7 Nov 2016,9.9,36,24.9,5.5,4.2,7.8,4.5,1.5,954,73,2.4,3.3
Norfakta,2 Nov 2016,14.2,34.6,24.9,4.9,4.1,6.1,6,1.8,1001,NA,1.6,1.8
Norstat,31 Oct 2016,13.6,37.4,23.5,5,4.9,6.6,4,1.2,963,NA,1.4,2.5
Kantar TNS,31 Oct 2016,11.9,38,23.7,4.8,5.7,5.3,3.6,1.5,974,76.8,2.3,3.1
Norstat,24 Oct 2016,17.1,38.4,21.9,4.3,3.1,6.2,4,1.5,973,NA,1.8,1.7
Ipsos MMI,19 Oct 2016,12.8,36.3,25.3,4.7,4.3,6.4,4.5,0.7,931,NA,2.3,2.6
Sentio,16 Oct 2016,13.3,36.2,25.8,4.7,3.2,7.2,3,1.5,1000,68,2.4,2.6
Respons Analyse,12 Oct 2016,14,35.8,23.5,4.4,3.7,7,5.1,1.3,1001,NA,1.9,3.3
InFact,11 Oct 2016,11.5,38.3,21.7,5.1,4.2,8.5,4.8,1.9,2016,NA,1.5,2.5
Opinion Perduco,10 Oct 2016,12.9,36.8,26,3.7,3.7,6.6,4.5,1.5,966,72,2.3,1.9
Norfakta,5 Oct 2016,12.9,38.5,23.3,4.7,4.2,5.5,4.6,1.8,1001,79,1.5,2.9
Kantar TNS,3 Oct 2016,12.8,34.9,27.1,4.7,4.2,6,4.3,1.9,974,72.8,1.9,2.4
Norstat,3 Oct 2016,14.1,33.9,26.2,4.2,3.9,7.2,4,1.7,965,NA,0.9,3.9
Norstat,26 Sep 2016,13.7,34.6,26.3,4.3,2.8,6.7,3.4,2.8,961,NA,2,3.5
Ipsos MMI,21 Sep 2016,14.4,34.4,23.7,4.3,5.4,7.9,4.3,0.3,909,NA,2,3.2
Sentio,18 Sep 2016,14.7,38.4,22.9,4.4,4.4,7.4,3.7,1.2,1000,74.7,1.1,1.8
Respons Analyse,14 Sep 2016,14.9,33.7,24.7,5.2,3.6,5.7,5.2,1.8,1001,NA,1.4,3.8
Opinion Perduco,12 Sep 2016,11.4,37.5,24.2,6,3.3,6.7,4.4,1.2,963,73,2,3.3
InFact,8 Sep 2016,13.2,32.3,22.7,7.1,5.9,8.8,3.3,2.4,2039,NA,2.1,2.1
Norfakta,7 Sep 2016,15.1,33.8,27.1,3.8,3.3,6.5,4.6,2,1002,NA,1,2.9
Norstat,5 Sep 2016,16.2,33.7,25,4.3,3.7,6.9,4.5,0.9,959,NA,1.7,3.1
TNS Gallup,2 Sep 2016,14.8,33.6,26.9,3.7,4.2,7.4,4.9,0.7,964,78.5,1.9,2.1
Norstat,29 Aug 2016,16.5,34.3,24.8,4.9,4.1,6.7,4.5,1.1,963,NA,1.5,1.6
Ipsos MMI,24 Aug 2016,16.4,34.1,24.3,4.4,4.4,6.3,3.8,1.4,929,NA,1.5,3.5
Sentio,22 Aug 2016,15.2,36.8,21.6,4.5,3,7.5,4.7,1.8,1000,68.8,1.7,3.3
Respons Analyse,18 Aug 2016,13.7,36.1,24.7,5.2,4.2,5.5,4.7,2.1,NA,NA,1.2,2.6
Norstat,15 Aug 2016,15.4,34.4,24.2,4.5,4.2,7.1,3.3,2.5,969,NA,1.5,3
Opinion Perduco,8 Aug 2016,14.5,36.4,25.4,5,2.6,6.4,4.6,1,972,71,1.8,2.4
TNS Gallup,5 Aug 2016,13.2,34,27.1,4.6,4.4,6.1,3.8,1.6,982,75.1,1.8,3.4
Norfakta,3 Aug 2016,12.2,36.2,26.4,5,3.9,6.9,3.7,0.8,1002,NA,1.3,3.5
Norfakta,7 Jul 2016,15.1,30.4,25.9,5,3.6,7.7,4.7,2.8,1001,80,1.8,3
TNS Gallup,1 Jul 2016,14.9,32.2,24.9,5.1,4.7,7,4.5,1.2,986,76.9,2.9,2.6
Norstat,27 Jun 2016,15.6,35.3,23,4.4,4.6,6.8,3.5,1.3,974,NA,1.2,4.2
Ipsos MMI,22 Jun 2016,16.2,30.7,25.3,5,3.7,6.7,4.3,2.5,933,NA,2,3.5
Sentio,20 Jun 2016,17.5,32.3,23.2,6.1,3.3,5.9,4.3,1.5,1000,70,1.4,4.5
Opinion Perduco,13 Jun 2016,14.5,35.3,24.4,5.2,4.4,5.4,3.5,1.5,962,74,2.6,3.2
Norfakta,8 Jun 2016,14.9,35,23,5.1,5,6.8,5.4,0.6,1000,73,1,3.2
