institute,date,fr_p,ap,h,kr_f,sv,sp,v,others,sample_size,resp_rate,r,mdg
Respons Analyse,8 Jun 2016,17.1,32.5,24.6,5,4.2,6.1,4.6,1,1002,79,2.1,2.8
Norstat,6 Jun 2016,16.6,34.5,21.5,4.8,4.2,7.1,4.2,2.5,958,NA,1.8,2.8
TNS Gallup,3 Jun 2016,14.7,34.9,23.9,4.1,4.5,5.9,4.8,0.7,978,74.6,2.2,4.1
Norstat,3 Jun 2016,15.9,36.6,20.9,5.4,5.7,5.2,4.1,1.8,NA,NA,1.1,3.4
Ipsos MMI,25 May 2016,12.6,34.8,22.6,5.5,4.5,6.5,5.1,1.8,938,NA,2.8,3.7
Sentio,23 May 2016,17.9,33.8,23.3,4.4,4.1,7.5,3.7,0.6,1000,70.7,1.1,3.6
InFact,22 May 2016,14.2,34,22.4,5.3,4.6,8.4,3.6,2.4,2022,NA,2,3.2
Opinion Perduco,14 May 2016,14.5,31.3,25.4,6.4,3.4,6.2,3.9,2.2,972,77,2.5,4.2
Respons Analyse,11 May 2016,15.3,33.5,25.5,5.8,3.9,5.5,4.9,0.9,1001,77,1.4,3.3
Norstat,9 May 2016,15.1,32.1,24.3,5.3,5.1,6.5,5.3,1.3,962,NA,2.4,2.5
Norfakta,4 May 2016,17.4,36,20.5,5,3.7,6.1,4.9,1.7,1003,81,2.5,2.2
Norstat,2 May 2016,17.3,30.8,26.1,5.2,4.5,6.5,4.7,0.8,973,NA,2,2.1
TNS Gallup,29 Apr 2016,15.6,35.9,25.1,4.6,2.6,6.3,3.8,1.4,971,74.4,1.8,3
Sentio,25 Apr 2016,14.7,33.4,23.5,6.1,4.4,6.9,5.2,1.8,1000,71.9,1.7,2.3
Ipsos MMI,20 Apr 2016,15.8,32.8,23.1,6.2,5.9,5.9,4.7,0.4,943,NA,2,3.2
Opinion Perduco,18 Apr 2016,16.2,32.7,26.1,5.5,4.6,6.4,3.3,1.9,962,73,0.9,2.4
Respons Analyse,13 Apr 2016,16.7,33.7,22.8,5.5,4.3,5.2,5.1,1.8,1002,78,1,3.9
Norstat,11 Apr 2016,17.1,32.5,24.9,5.2,3.5,6,4.6,1.5,970,NA,1.5,3.2
Norfakta,6 Apr 2016,16,35.3,24.5,5.1,2.6,5.4,5.6,0.6,1006,78,1.5,3.4
InFact,6 Apr 2016,15.5,33.6,22.4,5.5,4.9,7.2,3.9,1.6,1000,NA,1.9,3.5
Norstat,4 Apr 2016,18.8,34.6,21.8,4.8,3.3,5.6,4.2,1.7,959,NA,1.6,3.6
TNS Gallup,1 Apr 2016,16.5,35.8,24.5,3.9,4.4,6.2,3.5,0.8,963,80.2,1.4,3
Sentio,21 Mar 2016,17.6,32.3,24.3,5.6,3.4,5.8,4.7,1.1,1000,70.5,1.6,3.8
Ipsos MMI,16 Mar 2016,14.6,32.5,26.3,4.9,3,7.1,4.9,0.5,914,NA,3,3.2
Opinion Perduco,14 Mar 2016,16.4,33.1,26.6,3.9,3.6,5.4,4.5,1.3,NA,75,1.7,3.7
Respons Analyse,9 Mar 2016,16.2,34.1,24.1,5.1,3.6,5.8,4.6,1.7,1001,80,1.8,3
Norstat,7 Mar 2016,18.6,31.6,24,4.8,4,6.6,4.4,1.6,968,NA,1.5,2.9
Norfakta,2 Mar 2016,16.9,31.4,25.3,4.6,3.7,6.4,5.1,1.3,1000,80,2.2,3.1
Norstat,29 Feb 2016,17.1,31.2,25.9,4.9,5.7,6.3,3.6,0.8,972,NA,1.5,3
TNS Gallup,29 Feb 2016,15.8,33.6,24.8,4.7,4,6.1,4.4,1.5,975,80.3,2,3.2
InFact,25 Feb 2016,16.7,34,21.2,4.7,4.1,7.4,3.7,1.9,2037,NA,2,4.3
Sentio,21 Feb 2016,17,33.2,23.8,5.1,4.9,5.1,4.8,2.1,1000,72.4,1.5,2.6
Ipsos MMI,17 Feb 2016,18.2,33.8,21.4,3.8,4.2,5.9,4.5,0.7,931,NA,2.5,4.9
Opinion Perduco,15 Feb 2016,17.4,32,24,6.2,4.8,5.1,4.2,1.1,NA,74,2.5,2.7
Respons Analyse,11 Feb 2016,18.1,32.5,25,4.5,3.9,4.9,4.8,0.7,NA,78,1.6,4
Norstat,8 Feb 2016,18,32.4,25.1,5.5,3,5.8,4.2,0.4,NA,NA,1.1,4.4
Norfakta,3 Feb 2016,16.9,31.9,26.5,4.9,4.2,4.9,4.2,0.9,1000,74,2.4,3.2
Norstat,1 Feb 2016,14.6,33.5,25.7,5.5,4.6,4.9,3.6,1.4,955,NA,2.5,3.7
TNS Gallup,29 Jan 2016,14.2,33.4,25,6.3,3.1,5.8,4.9,1.2,981,77.3,2.4,3.8
InFact,28 Jan 2016,15.4,33.4,23.4,5.1,4.9,7.4,3.2,1.5,2020,NA,1.8,3.9
Sentio,25 Jan 2016,17.2,32.5,24.1,4.3,3.8,6.4,3.4,2.3,1000,73,1.5,4.4
Ipsos MMI,20 Jan 2016,15.6,37.1,22.6,4.7,3.3,6.1,4.9,0,925,NA,2.9,2.6
Opinion Perduco,18 Jan 2016,17.5,32.2,25.3,4.2,4.1,5.4,4.1,0.4,948,74,2.5,4.3
Respons Analyse,13 Jan 2016,17.8,30.8,23.4,5.1,4.5,5.7,4.7,1.8,1000,81,2,4.2
Norstat,11 Jan 2016,16.3,29.7,25,5.6,4.3,6.5,5,1.6,955,75.5,1.7,4.3
TNS Gallup,8 Jan 2016,15.7,33.5,24.2,5.4,3.9,5.3,5.2,1,977,81.1,2.2,3.5
Norfakta,6 Jan 2016,14.8,33.4,24.5,4.5,4.4,6.2,4.1,2.3,1000,82,1.2,4.5
Norstat,20 Dec 2015,19.2,33.4,23.8,6,3.5,4.5,3.2,1.7,967,NA,1.7,3
Ipsos MMI,16 Dec 2015,16.9,34,20.9,4.5,3.6,7.6,4,1,916,NA,1.9,5.4
Sentio,13 Dec 2015,16.6,35.6,20.6,4.3,3.6,7.1,4,1.6,1000,68,2.2,4.4
Respons Analyse,9 Dec 2015,17.6,31.3,23.7,5,3.9,5.3,5.2,1.8,1001,NA,1.6,4.6
Opinion Perduco,7 Dec 2015,18.3,35.4,21.6,4.4,3.3,6,3.3,1.9,959,NA,1.9,3.8
Norfakta,2 Dec 2015,18.2,33.5,20.7,5.1,3.5,4.7,4.5,2.6,1000,81,1.9,5.3
Norstat,2 Dec 2015,17.3,34.6,22.5,5.4,4.3,5.8,3.4,1,NA,NA,1.8,4
TNS Gallup,30 Nov 2015,15.6,34.2,22.5,5.2,3.9,6.6,5.2,1.2,972,82.3,2.1,3.9
Norstat,26 Nov 2015,18.1,35.8,20.4,4.6,4,6.5,3.5,1.6,NA,NA,2.4,3.2
Ipsos MMI,19 Nov 2015,17.5,36.1,20,4.4,3.8,6.2,4.5,0.5,931,NA,2.7,4.3
InFact,16 Nov 2015,16.1,35.3,20.3,5.3,4.4,7.2,4.2,1.7,2037,NA,2,3.4
Sentio,15 Nov 2015,18.2,34.9,20.3,5.2,3,7,3.6,1.4,1000,73.9,1.6,4.7
Respons Analyse,11 Nov 2015,18.7,32.3,22.8,4.7,4.3,5.1,5.3,0.8,1002,NA,1.9,4.1
Opinion Perduco,9 Nov 2015,15.3,33.1,24.7,4.2,3.6,6.7,4.2,2.2,954,NA,1.5,4.5
Norfakta,4 Nov 2015,16.6,35.2,21.7,4.9,4.1,4.3,5.2,1.3,1000,NA,1.5,5.2
Norstat,1 Nov 2015,13.3,35.5,23.8,5.5,3.9,6,4.2,1.9,NA,NA,1.9,3.9
TNS Gallup,31 Oct 2015,12.5,37.9,23.7,5.3,3.8,6.3,3.7,1.3,957,78.3,2.1,3.4
Norstat,26 Oct 2015,15,32.4,24.3,5,5.4,6.8,4.9,0.6,961,NA,2.2,3.4
Ipsos MMI,21 Oct 2015,10.2,35.5,23.3,5.4,5.9,7.7,4.8,1,925,NA,3.2,3
Sentio,19 Oct 2015,12.3,37.6,22.5,5,3.3,7.2,5.6,1,1000,75.8,1.1,4.5
Respons Analyse,14 Oct 2015,13.2,34.5,24.3,5.3,4.3,6.3,4.9,1.1,1001,NA,2.1,4
Norstat,11 Oct 2015,12.8,40.2,20.3,5.6,3.4,5.8,5.2,1.3,968,NA,1.2,4.2
Norfakta,7 Oct 2015,11.9,38.1,23.3,5.2,4.1,5.5,6,0.1,1001,81,0.9,4.9
Opinion Perduco,5 Oct 2015,11,36.2,22.7,6.9,3,6.4,5.6,1.5,973,76,1.8,4.8
TNS Gallup,2 Oct 2015,9.5,37.9,23.5,5.9,5,5.8,5.1,1.6,967,79.3,2.1,4
Norstat,28 Sep 2015,12.4,34.8,22,5.6,3.5,8,5,2,948,NA,1.7,5.1
Ipsos MMI,24 Sep 2015,11.3,37.9,23.2,5.7,3.8,6.6,4.9,0.6,926,NA,2.4,3.5
Sentio,21 Sep 2015,12.5,36.7,21.6,5.6,4,5.5,5,1.9,1000,NA,1.4,5.9
Respons Analyse,12 Sep 2015,13.3,34.6,23.3,5.2,4.7,6.5,5.7,1.1,1204,NA,1.5,4.1
Norstat,6 Sep 2015,11.3,34.6,23.5,6.2,3.9,7.2,5.5,1.6,947,76,1.8,4.5
Norfakta,2 Sep 2015,12.6,35.6,25.6,5.9,3.1,5.6,4.1,0.9,1000,NA,1.2,5.4
Norstat,30 Aug 2015,12.4,34.4,22.5,5.3,5.2,6.4,6.2,1.4,949,71.9,1.1,5.1
TNS Gallup,27 Aug 2015,11.6,36.3,24.9,3.1,4.8,5.9,5.4,1.4,NA,NA,1.6,5
Sentio,23 Aug 2015,14.3,34.2,20.6,6.1,4.6,6.3,3.8,2.3,1000,73.3,1.6,6
Respons Analyse,19 Aug 2015,12.8,33.1,23.8,5,3.9,6.2,5.2,2.8,1003,NA,2.2,5
Ipsos MMI,19 Aug 2015,13,38.3,24,4.6,4.8,4.2,5.2,0.5,925,NA,1.4,4
Opinion Perduco,17 Aug 2015,12.8,37.6,21.7,5.2,3.5,6.2,4.8,2.2,969,73,1.4,4.7
TNS Gallup,10 Aug 2015,11.7,37.4,24.4,5,3.4,5.5,4.6,1.4,NA,NA,1.8,4.9
Norstat,9 Aug 2015,12.4,37.4,24.7,4.7,3.6,6.1,3.6,1.4,960,70.3,1.8,4.4
Norfakta,5 Aug 2015,12.7,36.4,26.2,5.4,3.2,5.6,3.4,1.8,1001,NA,1.4,3.9
Norfakta,8 Jul 2015,13.3,38.1,21.8,5.7,3.9,4.3,4.5,2,1000,80,2.5,3.9
TNS Gallup,3 Jul 2015,11,38.8,22.8,4.6,4.1,4.6,5.7,1.7,966,78.4,1.5,5
Norstat,28 Jun 2015,14.2,35.8,23.4,5.1,4.9,6.4,3.5,1.6,959,NA,1,3.9
Sentio,21 Jun 2015,16.4,38.1,22,5.3,2.8,5.7,3.9,0.3,1000,71.4,1.8,3.9
Ipsos MMI,17 Jun 2015,14.3,36.8,21.4,5.6,4,5.9,4,1.4,924,NA,2.2,4.5
Opinion Perduco,15 Jun 2015,9.6,41.1,22.8,5.6,3.3,5.2,3.8,1.3,950,74,1,6.5
TNS Gallup,10 Jun 2015,11.7,37.9,23.5,5.1,4.2,5.7,5.3,1.1,NA,NA,1.4,4.1
Respons Analyse,10 Jun 2015,12.9,35.9,24.7,5.3,3.6,5.7,5.3,0.6,1000,78,1.2,4.8
Norstat,7 Jun 2015,12.1,41,22,5.2,3.5,5.1,4.5,1.3,957,69.3,1.1,4.3
Norfakta,3 Jun 2015,10.9,39.5,22.2,5.4,3.4,6.5,4.7,2,1001,74,1.4,4
Norstat,31 May 2015,11.7,40,21.6,5.6,2.1,5.7,4.7,3,957,NA,1.6,4
Sentio,26 May 2015,11.3,40.3,22.1,5.3,4.3,5.5,4,1.8,1000,73,1.5,3.9
Ipsos MMI,20 May 2015,12.8,38.6,23.2,4.9,3.2,6.2,3.6,0.9,919,NA,1.6,4.9
Norstat,18 May 2015,12.1,37.5,22,5.8,3.8,6.4,3.9,2.6,NA,NA,1.4,5.5
Opinion Perduco,11 May 2015,12.2,38.6,24.2,4.7,3.1,6,3.6,0.6,958,74,2,5
Norfakta,7 May 2015,12.5,37.6,22.8,5.6,3.1,5.3,5.2,2.5,1001,NA,1.3,3.6
Respons Analyse,6 May 2015,13.3,36.8,24.2,5.3,3.8,5.2,5.6,0.8,1002,79,1.3,3.7
Norstat,3 May 2015,10.6,42.5,22.8,4.6,3.3,5.4,4.5,1.1,962,NA,1.2,4
TNS Gallup,30 Apr 2015,11.1,35,26.5,5.2,4.7,6.5,5.1,1,950,78.9,1.7,3.3
Sentio,26 Apr 2015,11.3,37.4,26.1,5.6,3.7,5,4.9,1.8,1000,72.3,1.2,3
Ipsos MMI,22 Apr 2015,13,38.8,22.3,5.4,4,5.1,5,1,917,NA,1.9,3.6
Opinion Perduco,20 Apr 2015,11.3,40.4,21.8,7.1,3.1,6.1,4.6,0.6,956,74,0.5,4.4
Respons Analyse,15 Apr 2015,10.9,37.3,25.2,5.2,3.1,5.8,5,0.7,1000,NA,1.4,4.4
Norstat,13 Apr 2015,11.8,41.5,22.2,4.8,3.8,5.7,3.7,1.8,970,71.3,1.1,3.8
TNS Gallup,10 Apr 2015,8.6,39.6,22.6,5.4,5.1,4.7,6.5,1.4,960,77.8,2,4.1
Norfakta,8 Apr 2015,11.7,37.3,24.7,5.3,3.8,5.6,6,1.5,1000,80,0.8,3.3
Norstat,29 Mar 2015,10,41.7,22.3,6.5,2.6,5.9,3.8,1.2,961,NA,1.8,4.3
Ipsos MMI,25 Mar 2015,9.9,41.1,23.5,4.6,3.7,7.3,4.1,0.6,898,NA,2.2,3
Sentio,25 Mar 2015,9.1,42.5,23.6,6.6,3.3,6.3,3.7,0.7,1000,68.5,1.2,3.1
Opinion Perduco,16 Mar 2015,9.8,43.4,23.5,5.9,2.6,4.1,3.4,1.2,969,75,1.6,4.4
Respons Analyse,11 Mar 2015,9.5,42.1,21.3,6.3,3,6.1,6.3,1.5,1000,78,1.1,2.7
Norstat,9 Mar 2015,12.2,40.5,21.9,4.5,3.8,6.6,4.2,1.9,967,NA,0.9,3.6
Norfakta,4 Mar 2015,11.5,41.6,23.4,4.4,3.8,4.9,5.2,1.6,1000,77,1,2.6
Norstat,2 Mar 2015,10,41.6,21,6.4,4.1,5.8,5.1,1.8,967,NA,1.1,3.1
TNS Gallup,27 Feb 2015,10.7,38.8,25,5,4.8,5.8,4.3,0.7,959,78.5,2,3
Ipsos MMI,26 Feb 2015,11.3,41.3,21.5,5.6,3.7,5.5,4.2,0.4,946,NA,2.7,3.7
InFact,24 Feb 2015,11.7,41.8,20.8,6,3.8,4.8,4.4,1.2,2004,NA,1.4,4.2
Sentio,24 Feb 2015,9.2,43.4,21.4,5.4,4.3,5.8,4.6,1.5,1000,71.6,1,3.6
Opinion Perduco,16 Feb 2015,10,42.8,21.4,4.9,4,6.4,4.5,0.6,959,73,2.4,3.1
Respons Analyse,11 Feb 2015,9.9,41.1,21.7,5.8,4.1,5.9,5.2,1.1,1001,NA,1.8,3.3
Norstat,9 Feb 2015,13.5,39.7,21.8,4.7,3.6,6.5,4.1,0.8,956,NA,1.3,3.9
Norfakta,4 Feb 2015,12.4,41.3,21.9,4.5,3.8,5.1,4.9,2.1,1001,NA,1.2,2.9
Norstat,2 Feb 2015,12.1,42.4,20.9,5.1,3.6,5.1,5,0.4,958,70,0.7,4.6
TNS Gallup,30 Jan 2015,10.6,42.3,20.3,5.8,4.1,6,4.9,1,957,79.5,1.5,3.5
Sentio,26 Jan 2015,10.2,42.7,23.4,5.2,3.3,4.8,4.6,2.5,1000,73.6,1,2.7
Ipsos MMI,21 Jan 2015,11.2,42.4,22.7,5.6,3.9,5,4.2,0.9,940,NA,1.5,3.2
Opinion Perduco,20 Jan 2015,11.9,40.6,22.9,5.6,3.5,5.3,4.7,0.7,965,74,1.4,3.5
Respons Analyse,14 Jan 2015,11.3,41.2,22.7,5.3,4.6,4.6,4.8,0.6,1001,73,1.2,3.7
Norstat,12 Jan 2015,12.3,40.4,23.3,5.4,3.3,5,4.4,1.2,970,77.5,1,3.9
TNS Gallup,9 Jan 2015,10.5,42.8,20.9,4.7,3.2,7,5.7,0.8,957,79.2,1.2,3.2
Norfakta,7 Jan 2015,11.9,40.1,22.6,5.2,4.4,6.1,3.8,1.2,1000,79,1.4,3.3
Norstat,21 Dec 2014,12.4,41.6,22,5.6,3,4.1,4.6,0.4,953,76,1.3,4.8
Ipsos MMI,18 Dec 2014,12,39.8,23.4,5.9,3.9,5.4,4.8,0.9,951,NA,0.9,3
Sentio,16 Dec 2014,11.4,42.3,21.2,5.2,4.3,5.7,5.3,0.6,1000,75.6,1.3,2.6
Respons Analyse,10 Dec 2014,10.1,42,22,6.1,3.5,6,5.1,0.2,1000,84,1.6,3.4
Opinion Perduco,9 Dec 2014,10.2,41.8,22.3,5.6,3.5,5.6,5,0.6,963,75,1.1,4.2
Norfakta,3 Dec 2014,11.6,40.5,23.6,5.4,3.8,5.4,4.9,1.8,1001,81,0.9,2.1
Norstat,2 Dec 2014,12.6,42.8,21.5,5,3.3,5.4,3.3,1.2,952,77.3,1,3.7
TNS Gallup,28 Nov 2014,10,40.7,23.9,4.1,4.7,4.1,4.8,1.2,961,79.2,2.1,4.4
InFact,27 Nov 2014,12.9,40.6,19.5,6.4,3.9,5.5,4.7,1.3,2050,NA,1.4,3.8
Norstat,24 Nov 2014,11.3,41,22.2,6.3,4,5.4,3.7,1.1,965,70.4,1,4.1
Ipsos MMI,20 Nov 2014,13,41.4,23,4.9,3.8,5.1,4.4,0.9,936,NA,0.7,2.9
Sentio,17 Nov 2014,10.7,41.2,23.3,4.6,3.5,6.1,3.8,0.9,1000,72.2,2.2,3.9
Respons Analyse,12 Nov 2014,11.9,36.2,23.1,7.2,3.5,5.4,7,0.8,1001,79,1.3,3.6
Opinion Perduco,10 Nov 2014,11.4,42.2,22,5.9,3.8,5.2,3.9,0.9,960,73,1.3,3.5
Norfakta,5 Nov 2014,11.3,38.3,23.4,6.6,4.1,4.8,6,1.2,1001,NA,1.4,2.9
Norstat,4 Nov 2014,11.3,40.9,23.8,5.7,3.8,4.9,4.3,0.5,NA,NA,1.2,3.5
TNS Gallup,31 Oct 2014,9.5,39.8,23.4,5.4,4.4,5.4,4.9,1.4,942,79.9,2,3.6
InFact,30 Oct 2014,14.1,39.2,21.4,5,4.5,4.7,4.8,1.5,2014,NA,1.6,3.3
Norstat,27 Oct 2014,13.2,37.6,24.7,4.9,3.7,5.2,4.7,0.9,959,68.8,1.3,3.9
Ipsos MMI,23 Oct 2014,12.2,37.4,25.9,4.5,3.3,5.6,5.4,0.6,938,NA,1.4,3.8
Sentio,20 Oct 2014,12.2,39.8,25.5,4.5,3.1,5.1,3.6,2.1,1000,70.1,0.9,3.3
Respons Analyse,15 Oct 2014,12.8,38.4,24.6,5,3.4,5,4.4,1.4,1000,NA,1.3,3.7
Opinion Perduco,13 Oct 2014,13.8,39,25.9,4.4,2.7,4.6,4.5,1.4,963,NA,0.6,3
Norfakta,8 Oct 2014,13.3,35.1,25.7,5.6,3.2,6.5,4.4,1,1000,NA,1.7,3.5
Norstat,5 Oct 2014,14.3,34,27.2,4.9,3.9,5.3,4.6,0.8,959,NA,1.1,4
TNS Gallup,4 Oct 2014,13.8,36.5,25.3,3.7,4.7,4.2,5.2,0.6,965,77.4,1.6,4.5
Norstat,30 Sep 2014,14.9,36.3,26,4.5,3.2,5.3,3.9,0.9,952,71.4,1.5,3.4
Ipsos MMI,25 Sep 2014,13,34,28.5,4.9,4,4.7,4.4,1.8,937,NA,1.6,2.6
Sentio,21 Sep 2014,13.7,34.1,25.8,5.5,4.2,5.6,4.5,1.3,1000,72.2,1.5,3.8
Respons Analyse,17 Sep 2014,15.8,34.2,26.4,5,3.6,5.4,4.4,0.8,1003,NA,1.2,3.2
Opinion Perduco,15 Sep 2014,14.3,34.8,27.5,5,3.4,3.8,5,0.8,912,74,1.4,4.1
Norstat,7 Sep 2014,13.3,37.6,25.8,5.9,3.2,4.6,4.7,0.8,951,78.7,0.8,3.3
Norfakta,3 Sep 2014,15.3,36.2,25.2,4.8,3.6,5.3,4.4,1,1001,77,1,3.2
Norstat,1 Sep 2014,15.1,35.3,27,4.8,2.4,4.9,4.8,0.5,948,NA,1.2,3.9
TNS Gallup,30 Aug 2014,12.3,34.1,26.7,4.9,4.3,5.3,6,1.1,967,77.3,1.1,4.1
Sentio,24 Aug 2014,13.8,33.6,28.5,4.2,3.5,6.3,4.5,1.3,1000,71.6,0.7,3.4
Ipsos MMI,21 Aug 2014,11,32.8,30.9,4.5,3.8,4.5,5.4,1.5,870,NA,1.4,4.2
Respons Analyse,20 Aug 2014,14.7,34.8,25.4,5.5,4.6,5,4.5,1.1,1001,80,1.1,3.3
Opinion Perduco,18 Aug 2014,13.4,36.6,27.1,4.7,2.5,5.1,4.7,1.8,962,NA,0.8,4.2
Norstat,11 Aug 2014,15.3,34.3,25.5,5.5,4.4,4.9,4.5,0.4,967,NA,1.2,3.1
TNS Gallup,8 Aug 2014,12.6,33.7,26.6,6.2,4,4.9,5,0.8,952,76.9,1.8,4.1
Norfakta,6 Aug 2014,15,36,24.6,4.9,3.9,5.7,4.5,0.7,1006,81,1.2,3.5
Norfakta,2 Jul 2014,12.8,36.8,26.3,5.1,2.7,5.1,5.2,1.2,1003,72,1.1,3.7
Norstat,30 Jun 2014,14.1,34.4,26.6,4.2,2.9,5.9,5.5,1.1,954,70.5,1.5,3.8
TNS Gallup,30 Jun 2014,10,37.6,27.6,4.6,3.4,5,5.2,1.4,927,80.3,2,3.3
Sentio,22 Jun 2014,15.5,34.5,25.4,5.4,3.1,4.8,4,2.5,1000,NA,1.3,3.5
Ipsos MMI,19 Jun 2014,12.1,35.5,28.5,4.2,3.1,5.5,4.7,0.9,945,NA,1.4,4.1
Opinion Perduco,16 Jun 2014,14.2,36.1,25.3,5.5,3.4,5.3,4.8,0.4,974,NA,1.4,3.6
Norstat,9 Jun 2014,14.5,35.4,26.1,5.8,3.7,4.9,3.8,0.6,960,NA,0.9,4.3
Norfakta,4 Jun 2014,13.5,34.5,25.7,5.7,3,6.1,5.5,1.6,1000,72,1.3,3.1
Respons Analyse,4 Jun 2014,14.4,33.6,26.5,5.4,4.3,5.1,4.7,1.6,1002,NA,1.1,3.3
Norstat,3 Jun 2014,14.1,35.8,26.9,5,2.5,4.4,4.7,1.4,956,71.7,1,4
TNS Gallup,28 May 2014,11.7,34.4,26.1,4.6,4.5,6.1,6.5,1.3,949,83.4,1.7,3.1
InFact,28 May 2014,14.3,33.7,26,5.7,4.5,5,4.7,1.3,2087,NA,1.2,3.8
Sentio,25 May 2014,13.1,34.9,26.2,5.4,3.3,5.3,5.9,2.1,1000,72,1.5,2.3
Ipsos MMI,22 May 2014,14.5,36,25.6,4.9,3.7,5.1,4.6,0.9,938,NA,2,2.8
Opinion Perduco,19 May 2014,15.1,32.7,26.9,5.7,3.9,4.8,5.4,0.4,961,NA,1.9,3.3
Norstat,11 May 2014,14.3,35.9,26.5,4.8,3.8,4.6,4.7,0.4,971,71.9,0.9,4.1
Norfakta,7 May 2014,13.3,33.9,28.1,4.9,4,4.9,5.4,1.6,1001,79,0.7,3.2
Respons Analyse,7 May 2014,12.8,33.2,26.8,5.7,4.3,5.7,4.8,1.6,1000,84,1.3,3.5
Norstat,5 May 2014,13.7,34.4,26.2,5.4,4.4,5.7,5,0.1,970,70.3,1.3,3.1
TNS Gallup,30 Apr 2014,12.5,32.2,27.8,4.8,4.5,4.9,5.3,2.1,951,81.2,1.7,4.2
InFact,28 Apr 2014,15.8,34.2,25.3,5,4,4.6,4.7,1.3,2061,NA,1.4,3.7
Sentio,27 Apr 2014,13.2,31.7,28.9,5.4,3.7,5.1,5.9,1.7,1000,75.6,0.7,3.7
Ipsos MMI,24 Apr 2014,13.2,32.8,27.9,5.6,4.8,4.6,6.3,0.6,939,NA,2.1,2.3
Opinion Perduco,16 Apr 2014,13.8,34.5,27.5,5.2,3.1,4.7,5.3,0.8,973,75,1,4
Respons Analyse,9 Apr 2014,13.6,34,29.8,5.4,2.9,4.3,5.3,0.9,1001,NA,1.4,2.4
Norstat,7 Apr 2014,15.7,35.4,25.9,5.1,3.4,3.9,5,0.5,964,73.1,1.4,3.7
Norfakta,3 Apr 2014,13.9,34.5,27.8,4.9,3.7,4.9,4.7,1.2,1000,NA,0.9,3.5
InFact,31 Mar 2014,14.9,33.5,26.8,5.4,3.6,4.9,5.3,2.1,2014,NA,1.2,2.9
Norstat,31 Mar 2014,13.9,35.7,27,5.8,3.4,4.5,4.7,1.6,980,73,1.2,3.1
TNS Gallup,31 Mar 2014,11.3,33,29.5,5.9,4.5,4.5,6.1,0.6,957,82.7,1.1,3.5
Ipsos MMI,27 Mar 2014,12.8,33.7,27.6,4.6,5,4.9,5.5,1.3,951,NA,1.6,3.1
Sentio,24 Mar 2014,15.1,35.3,26.2,5.1,3.9,5.1,4.3,1.4,1000,74.6,1,2.6
Opinion Perduco,17 Mar 2014,14.9,35.7,26.6,4.7,3.9,4.7,5,1,968,NA,1.1,2.5
Respons Analyse,12 Mar 2014,13.9,34.7,27.7,5.1,3.6,4.4,6.1,0.3,1002,NA,1.4,2.8
Norstat,10 Mar 2014,14.6,35.2,26.4,5,2.8,4.7,4.7,1.7,968,73,1.4,3.6
Norfakta,5 Mar 2014,15.5,33.4,26.6,5.9,3.5,5.2,4.6,0.6,1000,83,1.3,3.4
Norstat,3 Mar 2014,13.9,34.3,27,4.6,3.7,5,4.2,1.2,968,69.7,2.1,3.9
