institute,date,fr_p,ap,h,kr_f,sv,sp,v,others,sample_size,resp_rate,r,mdg
TNS Gallup,28 Feb 2014,11.6,35.2,27.6,4.7,4.3,4.9,6.2,0.8,976,77.5,1.5,3.2
Ipsos MMI,27 Feb 2014,15,34.4,26.5,5.3,3.3,4.7,5.2,0.6,972,NA,2,3
InFact,27 Feb 2014,15.5,33.6,26.8,4.8,3.6,4.9,5,1.6,2029,NA,0.9,3.3
Sentio,24 Feb 2014,12.8,33.7,29.9,5.1,4,5.1,4.3,1.8,1000,75.7,1,2.2
Opinion Perduco,17 Feb 2014,15,34.8,27.2,4.9,3.2,4.3,5.1,1.2,974,77,1.3,2.9
Respons Analyse,12 Feb 2014,14.3,34.7,27,5,4.8,4.6,5.1,1.1,1002,81,0.9,2.5
Norstat,10 Feb 2014,13,33.1,28.8,5.9,3.9,4.9,4.3,0.9,971,70.1,1.4,3.8
Norfakta,5 Feb 2014,14.5,34.3,28.8,5.2,3.1,4,4.6,1.2,1000,NA,1.2,3.1
Norstat,3 Feb 2014,11.7,32.1,30.3,5.1,3.9,5.9,5.1,0.5,970,NA,1.4,4
TNS Gallup,31 Jan 2014,11.9,34.1,29.2,5.6,4.2,5.2,4.9,0.9,1373,78.6,1.1,2.8
InFact,29 Jan 2014,14.1,32.4,28.3,5.3,4,4.6,5.2,1.3,2056,NA,1.6,3.3
Sentio,27 Jan 2014,15.5,35.3,28.4,4.7,3.1,4.3,3.8,1,1000,NA,0.9,3
Ipsos MMI,23 Jan 2014,14.2,34.6,28,5.2,3.5,4.9,4.5,0.9,947,NA,1.8,2.4
Opinion Perduco,20 Jan 2014,13.4,33.8,28.8,4.8,4,4.5,5.5,0.4,979,77,0.9,3.9
Respons Analyse,15 Jan 2014,12.6,33.7,31,5.2,3.7,4.3,4.6,1,1002,NA,1.2,2.7
Norstat,13 Jan 2014,11.7,32.7,30.5,6.3,4.2,4.3,5.2,1.3,984,NA,1.2,3.1
TNS Gallup,10 Jan 2014,12.6,32.4,28.6,5.5,4.8,5.1,4.2,2.3,956,84.2,1.3,3.2
Norfakta,8 Jan 2014,14.7,32.9,29.4,5.5,4.1,3.9,4.9,1,1000,83,0.4,3.3
Ipsos MMI,19 Dec 2013,13.2,32.1,29.9,4.6,4.6,5,5.1,1.3,951,NA,1.6,2.7
Norstat,19 Dec 2013,14.7,34.9,27,5.7,3.4,4.3,4.5,1.4,979,74.3,1.1,3.2
Sentio,16 Dec 2013,13.9,34,27.2,4.4,3.9,4.9,5.6,1.3,1000,79.5,1.1,3
InFact,11 Dec 2013,14.3,35.3,25.8,5.1,4,4.8,4.6,1.3,2042,NA,1.4,3.4
Respons Analyse,11 Dec 2013,14.5,33.2,28.7,5.2,3.6,4.6,5.4,1,1000,NA,1.5,2.3
Opinion Perduco,9 Dec 2013,14.8,32.7,27.9,5.8,3.5,4.9,5.4,1.1,980,81,0.8,3.1
Norfakta,4 Dec 2013,14.6,32.7,28.7,5.3,4,4.5,4.7,1.8,1000,85,1.3,2.4
Norstat,2 Dec 2013,14.1,32.8,28.2,5.4,3.7,4.8,5.2,1.5,NA,NA,1,3.3
TNS Gallup,30 Nov 2013,12.9,31.5,27.8,6.4,4.5,5,6.9,1.2,952,83.8,1.3,2.6
InFact,27 Nov 2013,14.9,33.4,26.4,6.1,4.1,4.7,4.7,1.4,2073,NA,1.2,3.1
Norstat,25 Nov 2013,15.2,31.7,28,5.3,3.4,5.3,5.7,1,976,77.2,1.3,3.2
Ipsos MMI,21 Nov 2013,13.5,30.8,30.1,5.2,4.4,4.8,6,1,937,NA,0.9,3.1
Sentio,18 Nov 2013,14.3,34.5,27,6.2,3.5,4.3,4.8,1.1,1000,80.2,1.3,3
Respons Analyse,13 Nov 2013,15.1,35.1,26.2,4.6,3.8,5.3,4.5,1.5,1003,NA,1.1,2.8
Opinion Perduco,11 Nov 2013,14.3,31.6,27.9,6,3.2,5.6,6.1,0.6,979,83,1.5,3.3
Norstat,7 Nov 2013,15.3,31.4,27.1,5,4.3,5.3,5,1.9,NA,NA,0.9,3.8
Norfakta,6 Nov 2013,15.3,30.8,29.5,5.1,4.5,4.8,4.8,1.3,1000,85,1.1,2.8
TNS Gallup,1 Nov 2013,12.4,31,28.1,6.2,5.3,4.9,5.8,1.2,960,86.3,1.4,3.8
Norstat,28 Oct 2013,15.1,32.9,26.9,4.9,4,4.9,5.5,0.7,974,78.3,1.1,3.9
Ipsos MMI,24 Oct 2013,14.9,32,28.6,5.4,4.2,4.4,5.5,0.8,955,NA,1.7,2.3
InFact,23 Oct 2013,14.2,33.7,26.2,5.5,4.5,4.6,5,1.4,2051,NA,1.4,3.4
Sentio,22 Oct 2013,13.7,29.7,30.6,5.6,3.6,5,5.7,2.3,1000,81.2,0.9,2.8
Respons Analyse,16 Oct 2013,14.8,31.7,28.1,5.8,4,5.1,5.8,1,1000,NA,1,2.9
Opinion Perduco,14 Oct 2013,13.8,31.7,27.1,6.5,4.1,4.9,5.7,0.8,982,84,1.5,4.1
Norstat,7 Oct 2013,17,30.5,25.7,4.7,4.2,4.7,6.4,1.1,984,77.4,1.3,4.3
TNS Gallup,4 Oct 2013,13.3,33.4,27.3,5.6,4.4,4.1,6.1,1.5,969,85.1,1.3,2.9
Norfakta,2 Oct 2013,15,32.7,28.4,5.1,3.7,4.8,4.9,1.4,1000,NA,1.3,2.7
Norstat,30 Sep 2013,15.8,32.5,26.5,6.6,3.5,5.2,4.3,0.7,973,NA,1,3.9
Ipsos MMI,26 Sep 2013,14.5,30,27.9,6.5,3.8,5.1,5.6,1.1,954,NA,2.2,3.6
Opinion Perduco,25 Sep 2013,16.9,31.6,26.3,5,4.6,4.9,5.1,0.5,966,85,1.1,4
Sentio,16 Sep 2013,14.3,31.5,27.6,5.4,4.6,5.3,5.8,1.6,1000,82.9,1.2,2.8
Kantar TNS,11 Sep 2021,12.3,24.6,19,3.8,8.7,12.7,4.5,3.6,2088,NA,5.7,5.1
Opinion Perduco,10 Sep 2021,11.9,26.9,18.9,3.3,7.7,14.8,4.5,2.5,NA,NA,4.6,4.8
Kantar TNS,10 Sep 2021,11.3,24.5,19.4,4.2,9.1,13.2,4.4,3.3,2388,83.6,5.9,4.9
Kantar TNS,9 Sep 2021,10.9,23.9,19.1,4.9,9.2,12.7,4.8,3.3,2387,81.4,6.7,4.7
Norfakta,8 Sep 2021,11.8,24,19.1,3.6,8.2,14.8,3.8,3.5,1003,84,5.4,5.9
Ipsos MMI,8 Sep 2021,11.8,22.9,17,4.2,11.8,12.2,6.1,3.7,NA,NA,6,4.3
Norstat,8 Sep 2021,11.9,24.6,18.8,3.9,9,11.6,5.8,4.9,NA,NA,4.6,4.9
Respons Analyse,8 Sep 2021,12.4,26.6,18,4.5,9.4,11.1,3.9,3.9,1000,NA,6,4.2
Kantar TNS,8 Sep 2021,11.2,23.7,19.1,4.5,9.3,13.4,4.6,3.5,2582,NA,6.4,4.7
Norstat,8 Sep 2021,12,24.7,20.4,4.2,8.9,11.9,4.9,3.1,11500,NA,4.9,4.9
Kantar TNS,7 Sep 2021,11.1,23.8,18.6,4.3,8.9,13.8,4.8,3.5,2184,NA,6.2,5
Kantar TNS,6 Sep 2021,10.9,23.3,19.4,4.1,9.5,14,4.7,3.8,1686,NA,5.6,4.7
Norstat,6 Sep 2021,12.4,23.9,18.5,3.4,8.6,14.3,3.6,4.7,969,NA,5.2,5.4
Kantar TNS,3 Sep 2021,10,23.4,20.5,3.6,9.4,14,4.6,4.9,1388,NA,5.4,4.3
Kantar TNS,2 Sep 2021,9,23.2,21.2,4.3,9.5,12.4,4.8,5.4,1480,NA,5.1,5
Respons Analyse,1 Sep 2021,11.5,23.2,20.1,3.6,10.4,12.6,5.5,3.6,1000,81,4.6,4.9
Kantar TNS,31 Aug 2021,10.7,23.4,21.5,4.1,9.7,11,4.8,4.9,1200,NA,4.9,5
Norstat,29 Aug 2021,11.3,23.1,19.6,4.7,10.6,12.2,4.5,3.9,NA,NA,5,4.8
Norstat,28 Aug 2021,11.5,23.7,19,3.7,10,12.6,4.9,3.4,962,NA,5.4,5.8
Kantar TNS,27 Aug 2021,11.8,22.6,19.2,3.8,10.2,11.5,4.4,4.3,996,NA,7.2,5
Kantar TNS,25 Aug 2021,10.7,22.4,20.5,3.7,9.9,11.2,4.8,5.2,NA,NA,6.3,5.3
Sentio,21 Aug 2021,9.8,23.9,19.1,3.9,8.8,13.2,3.8,4.9,1000,NA,5.4,7.2
Norstat,22 Aug 2021,10.5,26.8,18.9,3.6,9.5,12.8,3.8,4.2,NA,NA,4.7,5.3
Kantar TNS,20 Aug 2021,9.3,22.7,19.7,3.4,9.5,13,4.4,7,992,81.7,5.9,5.1
Respons Analyse,18 Aug 2021,11.6,24.9,20.3,4.2,9.5,11.3,5,2.7,1001,NA,4.7,5.8
Norstat,13 Aug 2021,8.6,22.1,21.9,2.9,7.6,17.1,4.1,5.8,948,NA,3.2,6.7
Kantar TNS,13 Aug 2021,7.7,22.8,21.2,5.1,9.3,13.7,3.4,5.6,983,NA,5.1,6.3
Norstat,11 Aug 2021,10.9,25.5,21.1,3.1,6.9,16.2,3.3,3.9,11400,NA,4.9,4.3
Norstat,11 Aug 2021,10.1,24,19.1,3.2,8.6,16.1,4.3,4.1,1000,79,4.6,5.9
Respons Analyse,11 Aug 2021,11.4,24.8,18.9,3.3,9.4,15.3,4,3.5,1000,NA,4.3,5.1
Opinion Perduco,8 Aug 2021,9.3,22.6,21.2,4,8.8,19.2,3.8,3.8,964,76,3.8,3.5
Kantar TNS,6 Aug 2021,9.3,23.5,18.2,3.8,8.6,16.4,3.2,5,977,NA,7.5,4.5
Norstat,28 Jul 2021,11.6,26.9,19.5,3,8,15,3.6,2.8,1000,74,5.5,4.1
Norfakta,7 Jul 2021,10.3,23.8,20.2,3.1,8.8,16.9,4,3,1000,77,6,3.9
Kantar TNS,2 Jul 2021,10.6,22.4,19.7,3.8,7.3,19.1,2.8,4.1,982,NA,5.4,4.9
Ipsos MMI,30 Jun 2021,7.2,23.9,20.7,2.7,6.6,19.3,3.4,5.7,1000,NA,5.5,5
Norstat,23 Jun 2021,9.4,27,21.1,3.5,8.8,15,2.5,3.5,1000,75,4.9,4.2
Norstat,20 Jun 2021,9.6,24.9,22.1,2.7,8.4,17.5,2.6,3.5,930,NA,5.8,2.8
Respons Analyse,14 Jun 2021,10.5,23.6,21.4,3.3,8.2,18.2,2.8,3.7,1000,NA,4.5,3.7
Sentio,13 Jun 2021,10.1,23.9,21.9,3.3,7,18.7,2.8,2.4,1000,NA,4.8,5
Norstat,11 Jun 2021,10.2,24.1,23,3.6,7.8,17.7,2.7,3.2,11400,NA,4.2,3.7
Opinion Perduco,7 Jun 2021,10.3,24.3,22.8,3.7,6.1,18.7,2.3,2.5,964,74,4.7,4.7
Norfakta,4 Jun 2021,10.9,23.5,22.3,2.9,8.1,17.6,2.9,2.3,NA,NA,5.6,4
Norstat,31 May 2021,10.7,24.7,21.2,3,7.3,17,3.1,3,953,NA,5.9,4.2
Kantar TNS,31 May 2021,9.8,24.5,18.2,3.4,8.5,17.5,4.1,2.7,1179,NA,6.5,4.5
Ipsos MMI,26 May 2021,10.1,25.7,21.1,3.3,7.6,16.4,2.6,4.5,1000,74,4,4.7
Norstat,25 May 2021,9.9,25,23.7,3.6,7.5,16.2,2.7,4,967,NA,4.9,2.6
Norstat,24 May 2021,10.9,24.5,22.8,2.9,7.8,16.2,3.2,2.6,999,NA,3.9,5.3
Sentio,16 May 2021,12,25.3,22.1,3.8,7.3,14.6,3.4,1.7,1000,NA,4.6,5.1
Opinion Perduco,13 May 2021,8.7,25.6,22,4.1,9.3,16.3,3.3,1.4,NA,NA,4.4,5
Respons Analyse,10 May 2021,10.8,21.5,22,4.1,8,18.3,3.6,3.5,1001,NA,4,4.2
Norfakta,5 May 2021,10,24.4,23.9,3.9,8,14.8,3.9,3.1,1000,NA,4.2,3.8
Norstat,3 May 2021,11.3,23.1,21.1,4.2,8.8,17.5,3.1,2.4,958,NA,4.4,4
Kantar TNS,30 Apr 2021,8.6,21.1,24.3,4.5,8.1,18.4,4.1,4.1,976,NA,4.6,2.1
Ipsos MMI,28 Apr 2021,9.5,23.5,20.4,4,8.5,17.5,3.7,4.5,1000,73,4.5,3.9
Norstat,24 Apr 2021,10,25.6,21.8,3.8,7.4,17.8,3.1,3.2,963,NA,3.7,3.6
Norstat,20 Apr 2021,11.1,23.3,24.7,3.4,7,17.1,2.9,3,11413,NA,3.7,3.9
Sentio,19 Apr 2021,10,24.8,24.1,3.1,7.3,17.1,2.9,2.1,1000,NA,4.1,4.4
Opinion Perduco,14 Apr 2021,9.5,23.1,21.7,3.1,7.7,19,3.3,3,NA,NA,4,5.7
Respons Analyse,12 Apr 2021,8.3,25.4,26.6,3.2,7.7,14,3.2,2.4,1000,75,4.8,4.4
Norfakta,7 Apr 2021,10.5,22.5,24.2,2.4,9.8,18.8,1.9,1.7,1000,74,4,4.1
Kantar TNS,7 Apr 2021,10.2,20.6,24.2,4.1,8.4,18.7,2.3,2.7,1002,NA,4,4.3
Norstat,28 Mar 2021,10.2,23.3,25.2,3.2,6.9,16.6,4,1.8,968,NA,3.8,4.9
Ipsos MMI,24 Mar 2021,11.5,24.3,20.9,2.9,7.4,16.7,2.9,5.1,1000,77,4.9,3.4
Norstat,21 Mar 2021,9.9,20.5,23.8,4.1,7.5,20.5,2.4,4.1,961,NA,4.1,3.3
Sentio,14 Mar 2021,12,23.5,22.7,2.4,7.8,18.6,2.9,2.7,1000,NA,4.1,3.3
Respons Analyse,10 Mar 2021,7.8,22.2,27.8,2.5,7.7,18.6,3.3,1.8,1001,NA,4.7,3.6
Opinion Perduco,8 Mar 2021,9.2,22.7,22.8,2.9,7.8,20.7,2.2,2.6,966,72,4.9,4.1
Norfakta,3 Mar 2021,10,24.3,23.9,2.7,7.5,17.7,3.9,2.9,1000,NA,3.8,3.5
Norstat,28 Feb 2021,9.7,21,24.6,3.9,7.4,22.2,2.8,1.6,957,NA,2.8,3.9
Kantar TNS,26 Feb 2021,7.2,18.2,25.6,3.3,8.6,19.2,2.9,4.2,981,NA,6.8,4
Ipsos MMI,24 Feb 2021,12.9,20.3,23.1,3.3,7.8,17.7,4.6,3.9,1000,75.5,2.7,3.7
Norstat,21 Feb 2021,8.3,20.6,27.6,3.6,6.1,18.6,2.3,3,961,NA,4.8,5.2
Sentio,14 Feb 2021,7.5,21,26.9,3.3,8.6,18.4,2.7,3,1000,NA,3.8,4.7
Opinion Perduco,8 Feb 2021,8.1,24.6,25.1,3.2,7.4,19.1,3.2,2.5,964,NA,2.9,4
Norfakta,3 Feb 2021,6.4,21.3,27.3,2.7,7.5,19.7,4,2.3,1000,NA,3.8,5
Respons Analyse,2 Feb 2021,8.7,22.8,26.3,3.4,7.3,18.8,1.9,2.8,1000,NA,4.2,3.8
Norstat,31 Jan 2021,8.3,20.7,22.8,3.5,8.3,21.9,2.4,3.3,945,74.7,3.9,4.8
Kantar TNS,29 Jan 2021,7.7,20,25.3,2.8,5.9,19.9,4.2,4.1,974,76.2,5.2,5
Ipsos MMI,27 Jan 2021,9.5,20.4,25.4,2.9,7.7,21.4,2.5,3.1,1000,73.4,5.3,1.8
Norstat,24 Jan 2021,10,24.2,25.6,2.7,7.6,19.6,1.6,1.9,954,NA,3.8,3
Sentio,16 Jan 2021,8.4,21.3,23,2.9,7.8,19.6,2.6,4.6,1000,NA,3.3,6.4
InFact,13 Jan 2021,8.6,18.4,24.1,4.7,8.7,20.5,2.1,3.1,3245,NA,4,5.8
Opinion Perduco,13 Jan 2021,9.8,19,26.9,3.4,8,20.1,2.7,2.3,NA,NA,4.4,3.4
Kantar TNS,8 Jan 2021,7.4,22.4,24.2,3.3,7.6,21.7,2.3,2.2,976,NA,5.3,3.4
Norfakta,6 Jan 2021,11.1,17.5,24.3,3.4,8.2,22.6,2.7,2.6,1001,78,3.1,4.5
Respons Analyse,6 Jan 2021,9.3,20.5,26.5,3.4,7.7,19.2,3.4,2.8,1000,NA,3.4,3.8
Norstat,2 Jan 2021,11.3,20.1,22.6,3.7,8.9,21.3,2.5,2,962,NA,3.7,3.9
Ipsos MMI,16 Dec 2020,12.9,21.1,18.9,3.8,7.5,22.3,3.5,2.4,1000,73.2,3.7,3.9
Norstat,13 Dec 2020,12.1,21.4,21.8,3.8,8,21.3,3.1,1.4,952,NA,3.3,3.8
Opinion Perduco,7 Dec 2020,10.9,21.8,22.9,3.4,6.9,22.2,2.4,1.3,962,72,3.8,4.5
Norfakta,2 Dec 2020,12.4,21.1,23,2.6,7.1,20.1,2.9,2.4,1000,81,4.1,4.3
Kantar TNS,30 Nov 2020,8.8,20.4,20.2,3.3,8.1,22.1,4,2.8,984,81,6.4,4
Respons Analyse,30 Nov 2020,10.9,20.3,22.9,3.8,8.1,20.5,4.1,1.2,1000,NA,3.7,4.5
Sentio,29 Nov 2020,8.8,22.4,26.5,3.4,7,18.4,2.9,2.6,1000,NA,4,4
Ipsos MMI,18 Nov 2020,11.9,21.5,20.4,3.4,7.4,18.6,4.6,3.8,1000,70.2,3.1,5.3
Norstat,15 Nov 2020,12.6,20.9,21.9,2.9,7.4,19.3,3,3.7,952,NA,4,4.2
Opinion Perduco,9 Nov 2020,10.9,20.4,24.6,4.2,8.1,17.8,3.4,1.5,969,NA,4.2,5
Norfakta,4 Nov 2020,11.2,23.4,24.7,3.4,6.7,17.7,2.5,2.3,1000,NA,4.1,4
Sentio,3 Nov 2020,13.4,21.9,25,4.2,7.6,16.4,3,1.7,1000,NA,3.4,3.5
Respons Analyse,31 Oct 2020,13.9,22,21.6,3.5,5.7,18.9,3.9,1.5,1000,NA,4.1,4.9
Kantar TNS,30 Oct 2020,11.5,20.5,22.1,2.8,7.8,19.8,4.1,2.5,986,79.2,4.9,4
Norstat,25 Oct 2020,12.3,23.5,25.2,3.3,7.9,14.9,3.3,2.2,942,75,3.3,4.3
Ipsos MMI,21 Oct 2020,12.7,19.5,22.3,3.7,6.3,17.8,2.6,5,1000,72.6,5.4,4.7
Norstat,18 Oct 2020,13.2,23.5,24.3,3.4,6,16.6,3,2.1,962,NA,4.1,3.7
Sentio,12 Oct 2020,13.5,20.8,23.6,3.5,6.6,19.8,3.3,1.4,1000,NA,3.3,4.2
Norfakta,7 Oct 2020,13.1,21,22.9,3.4,6.6,17,3.9,2,1001,77,4.4,5.6
Opinion Perduco,4 Oct 2020,12.5,22,27.4,2.9,7.3,14.2,4.2,1.8,955,NA,4.6,3.1
Kantar TNS,2 Oct 2020,12.8,18.4,24,5.1,7.2,16.2,4.3,1.1,974,73.2,6.1,4.7
Respons Analyse,30 Sep 2020,11.6,22.7,26.5,3.1,8.1,14,3.6,1.5,1001,NA,4.3,4.6
Norstat,27 Sep 2020,14.4,21.7,24.1,3,7.1,13.1,3.6,2.9,956,72.8,5.2,4.9
Ipsos MMI,25 Sep 2020,13.9,22.4,22.7,4.6,8.4,15.2,3.6,2.4,713,NA,3.6,3.5
Norstat,20 Sep 2020,13.3,22.6,25.3,4.1,7.8,14.3,3.2,1.8,948,NA,3.4,4.2
Sentio,14 Sep 2020,14.7,21.8,24.8,3.5,7.2,14.6,2.6,2.4,1000,NA,4,4.3
Opinion Perduco,7 Sep 2020,10.3,19.9,27,3.9,6.9,16,2.5,1.7,975,NA,4.4,7.5
Norfakta,2 Sep 2020,12.8,24.7,25.6,4.1,8.1,13.4,2.9,1.6,1000,78,3.3,3.5
Kantar TNS,1 Sep 2020,11.4,24.7,19.6,3.9,9.6,13.6,3.2,2.8,1182,79.6,5.5,5.7
Respons Analyse,31 Aug 2020,11.5,24.3,24.8,3.3,6.8,14.7,4,2.2,1000,NA,3.9,4.5
Norstat,31 Aug 2020,11.4,24,28.3,2.8,8.1,12.2,3.4,1.8,944,NA,3.8,4.1
Norstat,23 Aug 2020,9.7,24,26.8,3.7,7.9,14,3.2,1.7,952,NA,4.2,4.9
Ipsos MMI,19 Aug 2020,11.7,24.8,24.3,3.5,7.1,13.9,3.1,1.4,1000,71.5,4.4,5.8
Sentio,16 Aug 2020,12.8,23.1,28.7,2.6,8,12.6,2.1,2,1000,NA,4.1,3.9
Respons Analyse,11 Aug 2020,10.4,25.5,23,3.9,7.6,14.4,3.6,2.6,1001,NA,3.8,5.2
Norstat,10 Aug 2020,13,24.2,24.7,4.1,6.8,13.8,2.8,2.2,950,NA,3.8,4.7
Kantar TNS,7 Aug 2020,9.4,25.4,25,4.5,7.5,15,2.3,1.6,980,76.7,4.6,5.2
Norfakta,5 Aug 2020,12.5,26.6,23.5,3.6,7.2,13.2,2.5,0.7,1001,NA,4.1,6.1
InFact,4 Aug 2020,9.3,21.8,25.1,5.2,7.3,14.1,3.7,2.3,1024,NA,5.8,5.4
Opinion Perduco,3 Aug 2020,9.8,24.6,27.7,3.3,6.1,15.1,3.1,1.4,967,72,4.3,4.6
Norfakta,8 Jul 2020,10.5,27.3,23.9,3.8,6.9,13.7,3.5,1.2,1000,NA,4.2,4.9
Kantar TNS,30 Jun 2020,10.6,20.8,27.7,3.9,8.1,12.7,2.9,2.3,985,78.6,5.8,5.2
Ipsos MMI,24 Jun 2020,11,25,25.2,3.2,8.2,13.3,3.1,2.1,1000,NA,3,5.9
Norstat,21 Jun 2020,11.5,24.9,24.8,4.3,6.8,13,2.7,2.4,1000,NA,4.9,4.8
Sentio,13 Jun 2020,11.3,24.2,24.2,2.5,6.9,14,4.4,2,1000,NA,5.1,5.4
Opinion Perduco,8 Jun 2020,10.4,25.2,24.4,3.9,7.2,14.6,3.5,0.8,969,72,4.3,5.6
Respons Analyse,4 Jun 2020,12.4,23.5,24.2,3.7,6.8,14.5,3.1,1.8,1002,NA,4.7,5.3
Norfakta,3 Jun 2020,12.3,23.5,24.1,4.5,7.2,14.6,3,2,1002,NA,4.9,3.9
Norstat,1 Jun 2020,12,23.4,25.8,3.4,6.9,14.6,2.4,1.1,949,72.9,4.8,5.6
Kantar TNS,29 May 2020,11.9,23.5,27.3,3.5,7.3,13.8,1.6,1.7,982,78.6,4.7,4.8
Ipsos MMI,28 May 2020,10,25.5,25.4,2.6,7.6,13,3.6,2.3,905,77.6,3.8,6.2
Norstat,25 May 2020,12.1,25.8,26.2,3.2,5.5,15,2,0.6,957,NA,4.6,5
Sentio,16 May 2020,11,25.5,26,4,7.1,13.5,3.3,2,1000,NA,3.3,4.4
Opinion Perduco,10 May 2020,9.6,26.7,28.3,3.6,6.6,12,2.7,1.3,970,NA,3.7,5.6
Norfakta,6 May 2020,9.1,25.1,26.9,4.1,8,13.5,3.3,1.3,1000,81,4.3,4.4
Respons Analyse,5 May 2020,9.4,27,26.5,3.6,6.2,14.7,3,1.1,1000,NA,3.5,5
Norstat,4 May 2020,10.1,24.7,26.5,3.2,6.6,15.3,3.1,1.8,957,74.4,3.3,5.2
Kantar TNS,29 Apr 2020,8,26.8,28,3,5.6,14.6,3.4,1.4,988,72.9,5.3,3.9
Norstat,26 Apr 2020,11.4,24.6,26.8,3.2,6.6,15.6,3.3,0.9,955,NA,3.7,3.9
Ipsos MMI,22 Apr 2020,9.7,24.5,25.3,4.1,8.5,14.2,3.1,1.5,1000,72.4,4.9,4.2
Sentio,20 Apr 2020,12,24.5,26.7,3.7,6.5,14,3.3,1.4,1000,NA,3.2,4.9
Opinion Perduco,5 Apr 2020,11.6,25.7,27.3,3,5.9,13.8,2.9,1.4,1000,NA,3.7,4.7
Norfakta,1 Apr 2020,11.1,23.3,25.9,4.1,9.1,14.7,3.3,1,1000,NA,2.5,5
Respons Analyse,1 Apr 2020,12.4,26.7,25.2,3.2,7.3,13.5,2.8,1.2,1000,NA,3.5,4.2
Kantar TNS,31 Mar 2020,12.3,24.8,24.6,4.1,7,14.8,2.3,1.6,980,74.1,3.8,4.6
Norstat,29 Mar 2020,12,25.7,24.9,2.8,7.2,15.3,3.6,1.1,953,75.7,3.7,3.7
Norstat,23 Mar 2020,12.7,26.7,23.3,3.2,7.6,14.6,2.2,2.1,952,NA,4.1,3.8
Ipsos MMI,20 Mar 2020,11.4,24.9,20.8,3.7,9,17.4,2.6,1.1,1000,64.9,4.7,4.4
Sentio,16 Mar 2020,13,24.3,18.8,3.4,7.1,17.5,3.4,2.6,1000,NA,2.7,7.3
Opinion Perduco,9 Mar 2020,13.5,24,18.8,3.1,6.9,18.3,3.5,1.2,970,NA,3.9,6.7
Norfakta,4 Mar 2020,12,25.8,20.6,2.9,7,15.9,2.5,1.1,1000,78,5.1,7
Respons Analyse,2 Mar 2020,14.6,24.9,17.9,3.5,7.2,16.7,3.3,1.4,1000,NA,5.4,5.1
Norstat,2 Mar 2020,13.2,23.7,19.9,4.1,8.4,16.4,2.7,2.1,949,72.7,4.6,4.9
Kantar TNS,28 Feb 2020,13.7,21.5,19.8,3,8.5,17.6,3.7,2.6,961,78.4,4.1,5.6
Norstat,23 Feb 2020,14.3,24,18.9,3.5,6.5,15.7,4.4,1.7,NA,NA,4.7,6.3
Ipsos MMI,19 Feb 2020,14.2,25.8,18.8,3.6,7.1,14.8,3.5,3.3,1000,72.6,3.5,5.4
Sentio,17 Feb 2020,14.6,23.6,19.7,3.9,7.2,14.1,3.8,2.3,NA,NA,3.9,6.8
Opinion Perduco,10 Feb 2020,15.1,25.1,19.4,3.5,6.5,15.2,4.2,1.2,969,NA,5.3,4.6
Norfakta,5 Feb 2020,14.9,22.2,19.4,4.5,7.6,15.9,4.4,1.5,1000,NA,4.2,5.2
