"","candidate","jpg","party","clarifai_gender","clarifai_race","gender","race","gender_checked","race_checked"
"1","Al D'Amato","al_damato.jpg","REP","Masculine","White","Masculine","White","Masculine","Italian"
"2","Al Franken","al_franken.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"3","Al Gross","al_gross.jpg","IND","Masculine","White","Masculine","White","Masculine","White"
"4","Alan Blinken","alan_blinken.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"5","Alan Keyes","alan_keyes.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"6","Alan Schlesinger","alan_schlesinger.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"7","Alex Sanders","alex_sanders.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"8","Alison Lundergan Grimes","alison_lundergan_grimes.jpg","DEM","Feminine","Middle Eastern","Feminine","White","Feminine","White"
"9","Allen McCulloch","allen_mcculloch.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"10","Allen Weh","allen_weh.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"11","Alvin Greene","alvin_greene.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"12","Amanda Curtis","amanda_curtis.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"13","Amy Klobuchar","amy_klobuchar.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"14","Amy McGrath","amy_mcgrath.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"15","Andrew Rice","andrew_rice.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"16","Ann Kirkpatrick","ann_kirkpatrick.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"17","Arlen Specter","arlen_specter.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"18","Arthur Small","arthur_small.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"19","Barack Obama","barack_obama.jpg","DEM","Masculine","Latino_Hispanic","Masculine","Black","Masculine","Black"
"20","Barbara Ann Radnofsky","barbara_ann_radnofsky.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"21","Barbara Bollier","barbara_bollier.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"22","Barbara Boxer","barbara_boxer.jpg","DEM","Feminine","Middle Eastern","Feminine","White","Feminine","White"
"23","Barbara Mikulski","barbara_mikulski.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"24","Barry Hinckley","barry_hinckley.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"25","Ben Cardin","ben_cardin.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"26","Ben Nelson","ben_nelson.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"27","Ben Ray Lujan","ben_ray_lujan.jpg","DEM","Masculine","Latino_Hispanic","Masculine","Latino_Hispanic","Masculine","Latino_Hispanic"
"28","Beto O'Rourke","beto_orourke.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"29","Bill Bradbury","bill_bradbury.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"30","Bill Cassidy","bill_cassidy.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"31","Bill Frist","bill_frist.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"32","Bill Lloyd","bill_lloyd.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"33","Bill McCollum","bill_mccollum.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"34","Bill Nelson","bill_nelson.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"35","Blanche Lincoln","blanche_lincoln.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"36","Bob Bennett","bob_bennett.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"37","Bob Casey Jr.","bob_casey_jr.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"38","Bob Clement","bob_clement.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"39","Bob Conley","bob_conley.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"40","Bob Corker","bob_corker.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"41","Bob Franks","bob_franks.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"42","Bob Hugin","bob_hugin.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"43","Bob Inglis","bob_inglis.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"44","Bob Kerrey","bob_kerrey.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"45","Bob Menendez","bob_menendez.jpg","DEM","Masculine","White","Masculine","Latino_Hispanic","Masculine","Cuban"
"46","Bob Schaffer","bob_schaffer.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"47","Bob Tuke","bob_tuke.jpeg","DEM","Masculine","White","Masculine","White","Masculine","White"
"48","Brad Ellsworth","brad_ellsworth.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"49","Brad Hutto","brad_hutto.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"50","Brian Herr","brian_herr.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"51","Brian Schweitzer","brian_schweitzer.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"52","Bruce Braley","bruce_braley.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"53","Bruce Lunsford","bruce_lunsford.jpeg","DEM","Feminine","White","Masculine","White","Masculine","White"
"54","Byron Dorgan","byron_dorgan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"55","Cal Cunningham","cal_cunningham.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"56","Carl Levin","carl_levin.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"57","Carol Moseley Braun","carol_m_braun.jpg","DEM","Feminine","Black","Feminine","Black","Feminine","Black"
"58","Catherine Cortez Masto","catherine_c_masto.jpg","DEM","Feminine","White","Feminine","Latino_Hispanic","Feminine","Latino_Hispanic"
"59","Charles Melancon","charles_melancon.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"60","Charlie A. Matulka","charlie_a_matulka.jpg"," DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"61","Chele Chiavacci Farley","chele_chiavacci_farley.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"62","Chellie Pingree","chellie_pingree.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"63","Chris Coons","chris_coons.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"64","Chris Murphy","chris_murphy.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"65","Chris Rothfuss","chris_rothfuss.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"66","Chris Van Hollen","chris_van_hollen.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"67","Chris Vance","chris_vance.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"68","Christine O'Donnell","christine_odonnell.jpg","REP","Feminine","Latino_Hispanic","Feminine","White","Feminine","White"
"69","Chris Dodd","christopher_dodd.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"70","Christopher Reed","christopher_reed.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"71","Chuck Grassley","chuck_grassley.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"72","Chuck Hagel","chuck_hagel.jpg"," REP","Masculine","White","Masculine","White","Masculine","White"
"73","Chuck Robb","chuck_robb.jpeg","DEM","Masculine","White","Masculine","White","Masculine","White"
"74","Chuck Schumer","chuck_schumer.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"75","Cindy Hyde-Smith","cindy_hyde-smith.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"76","Claire McCaskill","claire_mccaskill.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"77","Conrad Burns","conrad_burns.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"78","Corey Stewart","corey_stewart.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"79","Corky Messner","corky_messner.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"80","Cory Booker","cory_booker.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"81","Cory Gardner","cory_gardner.jpeg","REP","Masculine","White","Masculine","White","Masculine","White"
"82","Craig L. Thomas","craig_l_thomas.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","White"
"83","Cynthia Lummis","cynthia_lummis.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"84","Dale Groutage","dale_groutage.jpg"," DEM","Masculine","White","Masculine","White","Masculine","White"
"85","Dan Bongino","dan_bongino.jpg","REP","Masculine","White","Masculine","Latino_Hispanic","Masculine","Italian"
"86","Dan Carter","dan_carter.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"87","Dan Coats","dan_coats.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"88","Dan Sullivan","dan_sullivan.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"89","Daniel Gade","daniel_gade.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"90","Daniel Mongiardo","daniel_mongiardo.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","Italian"
"91","Darryl Glenn","darryl_glenn.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"92","David Baria","david_baria.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"93","David Johnson","david_johnson.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"94","David Perdue","david_perdue.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"95","David Vitter","david_vitter.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"96","David Walters","david_walters.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"97","Dean Heller","dean_heller.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"98","Deb Fischer","deb_fischer.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"99","Debbie Stabenow","debbie_stabenow.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"100","Deborah Ross","deborah_k_ross.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"101","Denise Majette","denise_majette.jpg","DEM","Feminine","Black","Feminine","Black","Feminine","Black"
"102","Denny Rehberg","denny_rehberg.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"103","Dianne Feinstein","dianne_feinstein.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"104","Dick Durbin","dick_durbin.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"105","Dick Zimmer","dick_zimmer.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"106","Dino Rossi","dino_rossi.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"107","Don Stenberg","don_stenberg.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"108","Doug Forrester","doug_forrester.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"109","Doug Jones","doug_jones.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"110","Duane Sand","duane_sand.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"111","E. J. Pipkin","e_j_pipkin.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"112","Ed Flanagan","ed_flanagan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"113","Ed Gillespie","ed_gillespie.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"114","Ed Markey","ed_markey.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"115","Edward M. Bernstein","edward_m_bernstein.jpg","DEM","Masculine","Latino_Hispanic","Masculine","White","Masculine","White"
"116","Elaine Marshall","elaine_marshall.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"117","Elizabeth Dole","elizabeth_dole.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"118","Elizabeth Emken","elizabeth_emken.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"119","Elizabeth Warren","elizabeth_warren.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"120","Eric Fingerhut","eric_fingerhut.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"121","Eric Wargotz","eric_wargotz.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"122","Ernest Hollings","ernest_hollings.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"123","Erskine Bowles","erskine_bowles.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"124","Evan Bayh","evan_bayh.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"125","Fay Boozman","fay_boozman.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"126","Frank Lautenberg","frank_lautenberg.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"127","Gary Peters","gary_peters.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"128","Gene Kelly","gene_kelly.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"129","Geoff Diehl","geoff_diehl.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"130","George Allen","george_allen.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"131","George Nethercutt","george_nethercutt.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"132","George Voinovich","george_voinovich.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"133","Gloria Tristani","gloria_tristani.jpg","DEM","Feminine","White","Feminine","White","Feminine","Latino_Hispanic"
"134","Gordon Ball","gordon_ball.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"135","Gordon H. Smith","gordon_h_smith.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"136","Greg Ganske","greg_ganske.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"137","Harold Ford Jr.","harold_ford_jr.jpg","DEM","Masculine","White","Masculine","Black","Masculine","Black"
"138","Harry Reid","harry_reid.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"139","Heather Wilson","heather_wilson.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"140","Heidi Heitkamp","heidi_heitkamp.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"141","Herb Kohl","herb_kohl.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"142","Hillary Clinton","hillary_clinton.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"143","Howard Mills III","howard_mills_III.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"144","Inez Tenenbaum","inez_tenenbaum.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"145","Jack Carter","jack_carter.jpg","DEM","Feminine","White","Masculine","White","Masculine","White"
"146","Jack Conway","jack_conway.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"147","Jack E. Robinson III","jack_e_robinson.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"148","Jack Hoogendyk","jack_hoogendyk.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"149","Jack Orchulli","jack_orchulli.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"150","Jack Reed","jack_reed.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"151","Jacky Rosen","jacky_rosen.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"152","Jaime Harrison","jaime_harrison.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"153","Jim Huffman","james_huffman.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"154","Jan Ting","jan_ting.jpg","REP","Masculine","East Asian","Masculine","East Asian","Masculine","East Asian"
"155","Jane Raybould","jane_raybould.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"156","Jason Kander","jason_kander.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"157","Jason Lewis","jason_lewis.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"158","Jay Nixon","jay_nixon.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"159","Jay Williams","jay_williams.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"160","Jean Hay Bright","jean_hay_bright.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"161","Jeanne Shaheen","jeanne_shaheen.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"162","Jeff Beatty","jeff_beatty.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"163","Jeff Bell","jeff_bell.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"164","Jeff Bingaman","jeff_bingaman.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"165","Jeff Clark","jeff_clark.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"166","Jeff Flake","jeff_flake.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"167","Jeff Merkley","jeff_merkley.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"168","Jeff Sessions","jeff_sessions.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"169","Jim Barksdale","jim_barksdale.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"170","Jim Bunning","jim_bunning.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"171","Jim DeMint","jim_demint.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"172","Jim Durkin","jim_durkin.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"173","Jim Gilmore","jim_gilmore.jpg","REP","Masculine","East Asian","Masculine","White","Masculine","White"
"174","Jim Gray","jim_gray.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"175","Jim Holt","jim_holt.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"176","Jim Inhofe","jim_inhofe.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"177","Jim Jeffords","jim_jeffords.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"178","Jim Martin","jim_martin.png","DEM","Masculine","White","Masculine","White","Masculine","White"
"179","Jim Newberger","jim_newberger.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"180","Jim Oberweis","jim_oberweis.jpg","REP","Feminine","White","Masculine","White","Masculine","White"
"181","Jim Pederson","jim_pederson.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"182","Jim Renacci","jim_renacci.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"183","Jim Risch","jim_risch.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"184","Jim Rogers","jim_rogers.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"185","Jim Slattery","jim_slattery.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"186","Jim Talent","jim_talent.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"187","Jim Webb","jim_webb.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"188","Joe Biden","joe_biden.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"189","Joe Donnelly","joe_donnelly.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"190","Joe Heck","joe_heck.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"191","Joe Kyrillos","joe_kyrillos.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"192","Joe Lieberman","joe_lieberman.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"193","Joe Manchin","joe_manchin.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"194","Joel Dykstra","joel_dykstra.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"195","John Ashcroft","john_ashcroft.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"196","John Boozman","john_boozman.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"197","John Cornyn","john_cornyn.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"198","John E. Sununu","john_e_sununu.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"199","John Edwards","john_edwards.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"200","John Ensign","john_ensign.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","White"
"201","John Gillespie","john_gillespie.jpg","REP","Masculine","East Asian","Masculine","White","Masculine","White"
"202","John Hickenlooper","john_hickenlooper.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"203","John James","john_james.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"204","John Kennedy","john_kennedy.jpg","REP","Feminine","White","Masculine","White","Masculine","White"
"205","John Kerry","john_kerry.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"206","John McCain","john_mccain.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"207","John Raese","john_raese.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"208","John Thune","john_thune.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"209","Johnny Isakson","johnny_isakson.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"210","Jon Corzine","jon_corzine.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"211","Jon Kyl","jon_kyl.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
