"","candidate","jpg","party","clarifai_gender","clarifai_race","gender","race","gender_checked","race_checked"
"212","Jon Tester","jon_tester.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"213","Joni Ernst","joni_ernst.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"214","Josh Hawley","josh_hawley.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"215","Josh Mandel","josh_mandel.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"216","Kathy Szeliga","kathy_szeliga.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"217","Kay Bailey Hutchison","kay_bailey_hutchison.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"218","Kay Hagan","kay_hagan.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"219","Kelly Ayotte","kelly_ayotte.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"220","Ken Buck","ken_buck.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"221","Ken Salazar","ken_salazar.jpg","DEM","Masculine","White","Masculine","Latino_Hispanic","Masculine","Latino_Hispanic"
"222","Kenneth Chase","kenneth_chase.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"223","Kent Conrad","kent_conrad.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"224","Kevin Cramer","kevin_cramer.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"225","Kevin Wade","kevin_wade.jpg"," REP","Masculine","White","Masculine","White","Masculine","White"
"226","Kirsten Gillibrand","kirsten_gillibrand.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"227","Kit Bond","kit_bond.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"228","Kurt Bills","kurt_bills.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"229","Kyrsten Sinema","kyrsten_sinema.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"230","Lamar Alexander","lamar_alexander.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"231","Larry Craig","larry_craig.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"232","Larry LaRocco","larry_larocco.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"233","Lauch Faircloth","lauch_faircloth.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"234","Lauren Witzke","lauren_witzke.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"235","Leah Vukmir","leah_vukmir.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"236","Lee Fisher","lee_fisher.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"237","Lee Jones","lee_jones.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"238","Len Britton","len_britton.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"239","Lincoln Chafee","lincoln_chafee.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"240","Linda Lingle","linda_lingle.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"241","Linda McMahon","linda_mcmahon.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"242","Linda Smith","linda_smith.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"243","Lindsey Graham","lindsey_graham.jpg","REP","Feminine","White","Masculine","White","Masculine","White"
"244","Lisa Murkowski","lisa_murkowski.jpg","REP","Feminine","Middle Eastern","Feminine","White","Feminine","White"
"245","Lois Combs Weinberg","lois_combs_weinberg.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"246","Lou Barletta","lou_barletta.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","Italian"
"247","Maggie Hassan","maggie_hassan.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"248","Marco Rubio","marco_rubio.jpg","REP","Masculine","White","Masculine","White","Masculine","Cuban"
"249","Maria Cantwell","maria_cantwell.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"250","Mark Begich","mark_begich.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"251","Mark Clayton","mark_clayton.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"252","Mark Dayton","mark_dayton.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"253","Mark Kennedy","mark_kennedy.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"254","Mark Kirk","mark_kirk.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"255","Mark Neumann","mark_neumann.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"256","Mark Pryor","mark_pryor.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"257","Mark Ronchetti","mark_ronchetti.jpg","REP","Masculine","White","Masculine","White","Masculine","Italian"
"258","Mark Udall","mark_udall.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"259","Mark Warner","mark_warner.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"260","Marsha Blackburn","marsha_blackburn.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"261","Martha McSally","martha_mcsally.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"262","Martin Heinrich","martin_heinrich.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"263","Marvin Scott","marvin_scott.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"264","Mary Landrieu","mary_landrieu.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"265","Mary Boyle","mary_oboyle.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"266","Matt Fong","matt_fong.jpg","REP","Masculine","East Asian","Masculine","East Asian","Masculine","East Asian"
"267","Matt Rosendale","matt_rosendale.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"268","Matthew Corey","matthew_corey.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"269","Max Baucus","max_baucus.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"270","Max Cleland","max_cleland.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"271","Mazie Hirono","mazie_hirono.jpg","DEM","Feminine","East Asian","Feminine","East Asian","Feminine","East Asian"
"272","Mel Carnahan","mel_carnahan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"273","Mel Logan","mel_logan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"274","Merav Ben-David","merav_ben-david.jpg","DEM","Masculine","White","Feminine","White","Feminine","White"
"275","Michael Baumgartner","michael_baumgartner.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"276","Michael Bennet","michael_bennet.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"277","Michael Coles","michael_coles.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"278","Michael Steele","michael_steele.jpg","REP","Masculine","Indian","Masculine","Black","Masculine","Black"
"279","Michael Thurmond","michael_thurmond.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"280","Michelle Nunn","michelle_nunn.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"281","Mick Rich","mick_rich.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"282","Mike Bouchard","mike_bouchard.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"283","Mike Braun","mike_braun.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"284","Mike Crapo","mike_crapo.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"285","Mike DeWine","mike_dewine.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"286","Mike Enzi","mike_enzi.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"287","Mike Espy","mike_espy.jpg","DEM","Masculine","Latino_Hispanic","Masculine","Latino_Hispanic","Masculine","Latino_Hispanic"
"288","Mike Johanns","mike_johanns.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"289","Mike Lee","mike_lee.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"290","Mike Liffrig","mike_liffrig.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"291","Mike McFadden","mike_mcfadden.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"292","Mike McGavick","mike_mcgavick.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"293","Mike Rounds","mike_rounds.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"294","Mike Taylor","mike_taylor.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"295","Misty K. Snow","misty_snow.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"296","Mitch McConnell","mitch_mcconnell.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"297","MJ Hegar","mj_hegar.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"298","Monica Wehby","monica_wehby.jpeg","REP","Feminine","White","Feminine","White","Feminine","White"
"299","Nancy Farmer","nancy_farmer.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"300","Ned Lamont","ned_lamont.jpg","DEM","Feminine","White","Masculine","White","Masculine","White"
"301","Norm Coleman","norm_coleman.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"302","Olympia Snowe","olympia_snowe.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"303","Orrin Hatch","orrin_hatch.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"304","Pat Roberts","pat_roberts.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"305","Patrick Leahy","patrick_leahy.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"306","Patrick Morrisey","patrick_morrisey.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"307","Patrick Murphy","patrick_murphy.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"308","Patty Judge","patty_judge.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"309","Patty Murray","patty_murray.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"310","Paul Coverdell","paul_d_coverdell.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"311","Paul Hodes","paul_hodes.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"312","Paul Rappaport","paul_rappaport.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"313","Paul Sadler","paul_sadler.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"314","Paul Sarbanes","paul_sarbanes.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"315","Paul Van Dam","paul_van_dam.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"316","Pete Ashdown","pete_ashdown.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"317","Pete Coors","pete_coors.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"318","Pete Domenici","pete_domenici.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","Italian"
"319","Pete Hoekstra","pete_hoekstra.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"320","Peter Fitzgerald","peter_fitzgerald.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"321","Phil Bredesen","phil_bredesen.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"322","Philip Giordano","philip_giordano.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","Italian"
"323","Rand Paul","rand_paul.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"324","Richard Blumenthal","richard_blumenthal.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"325","Richard Burr","richard_burr.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"326","Richard Carmona","richard_carmona.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"327","Richard Lugar","richard_lugar.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"328","Richard Mourdock","richard_mourdock.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"329","Richard Shelby","richard_shelby.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"330","Richard Ziser","richard_ziser.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"331","Rick Lazio","rick_lazio.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","Italian"
"332","Rick Noriega","rick_noriega.jpg","DEM","Masculine","Latino_Hispanic","Masculine","White","Masculine","White"
"333","Rick Santorum","rick_santorum.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"334","Rick Scott","rick_scott.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"335","Rick Weiland","rick_weiland.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"336","Rik Mehta","rik_mehta.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"337","Rob Portman","rob_portman.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"338","Robert Arlett","robert_arlett.jpg"," REP","Masculine","White","Masculine","White","Masculine","White"
"339","Robert Flanders","robert_flanders.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"340","Robert Lorge","robert_lorge.jpg","REP","Masculine","Middle Eastern","Masculine","Latino_Hispanic","Masculine","Latino_Hispanic"
"341","Robert Tingle","robert_tingle.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"342","Robert Weygand","robert_weygand.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"343","Robin Carnahan","robin_carnahan.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"344","Rocky Raczkowski","rocky_raczkowski.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"345","Rod Grams","rod_grams.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"346","Rodney Glassman","rodney_glassman.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"347","Roger Wicker","roger_f_wicker.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"348","Roger Marshall","roger_marshall.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"349","Ron Johnson","ron_johnson.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"350","Ron Kirk","ron_kirk.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"351","Ron Wyden","ron_wyden.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"352","Ron Klink","ronald_klink.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"353","Ronnie Musgrove","ronnie_musgrove.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"354","Roxanne Conlin","roxanne_conlin.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"355","Roy Blunt","roy_blunt.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"356","Russ Feingold","russ_feingold.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"357","Sam Brownback","sam_brownback.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"358","Sam Granato","sam_granato.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"359","Sara Gideon","sara_gideon.jpg","DEM","Feminine","Latino_Hispanic","Feminine","White","Feminine","Indian"
"360","Saxby Chambliss","saxby_chambliss.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"361","Scott Brown","scott_brown.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"362","Scott Howell","scott_howell.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"363","Scott Kleeb","scott_kleeb.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"364","Scott Milne","scott_milne.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"365","Scotty Baesler","scotty_baesler.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"366","Sharron Angle","sharron_angle.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"367","Sheldon Whitehouse","sheldon_whitehouse.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"368","Shelley Berkley","shelley_berkley.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"369","Shenna Bellows","shenna_bellows.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"370","Sherrod Brown","sherrod_brown.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"371","Slade Gorton","slade_gorton.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"372","Spencer Abraham","spencer_abraham.jpg","REP","Masculine","White","Masculine","Middle Eastern","Masculine","White"
"373","Steve Bullock","steve_bullock.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"374","Steve Daines","steve_daines.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"375","Steve Pearce","steve_pearce.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"376","Steve Sauerberg","steve_sauerberg.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"377","Susan Collins","susan_collins.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"378","Susan Hutchison","susan_hutchison.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"379","Susan Parker","susan_parker.png","DEM","Feminine","White","Feminine","White","Feminine","White"
"380","Suzanne Haik Terrell","suzanne_haik_terrell.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"381","Tammy Baldwin","tammy_baldwin.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"382","Tammy Duckworth","tammy_duckworth.jpg","DEM","Feminine","East Asian","Feminine","Southeast Asian","Feminine","Southeast Asian"
"383","Ted Celeste","ted_celeste.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"384","Ted Cruz","ted_cruz.jpg","REP","Masculine","Middle Eastern","Masculine","White","Masculine","Cuban"
"385","Ted Kennedy","ted_kennedy.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"386","Ted Stevens","ted_stevens.jpg","REP","Masculine","Latino_Hispanic","Masculine","White","Masculine","White"
"387","Ted Strickland","ted_strickland.jpg","DEM","Masculine","Middle Eastern","Masculine","White","Masculine","White"
"388","Terri Lynn Land","terri_lynn_land.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"389","Theresa Greenfield","theresa_greenfield.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"390","Thom Tillis","thom_tillis.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"391","Thomas Dixon","thomas_dixon.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"392","Thomas Kean Jr.","thomas_kean_jr.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"393","Tim Johnson","tim_johnson.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"394","Tim Kaine","tim_kaine.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"395","Tim Michels","tim_michels.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"396","Tim Scott","tim_scott.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"397","Tim Hutchinson","timothy_hutchinson.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"398","Tina Smith","tina_smith.jpg","DEM","Feminine","White","Feminine","White","Feminine","White"
"399","Todd Akin","todd_akin.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"400","Todd Young","todd_young.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"401","Tom Allen","tom_allen.jpeg","DEM","Masculine","White","Masculine","White","Masculine","White"
"402","Tom Campbell","tom_campbell.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"403","Tom Carper","tom_carper.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"404","Tom Coburn","tom_coburn.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"405","Tom Cotton","tom_cotton.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"406","Tom Daschle","tom_daschle.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"407","Tom Harkin","tom_harkin.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"408","Tom Smith","tom_smith.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"409","Tom Strickland","tom_strickland.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"410","Tom Sullivan","tom_sullivan.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"411","Tom Udall","tom_udall.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"412","Tommy Thompson","tommy_thompson.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"413","Tommy Tuberville","tommy_tuberville.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"414","Tony Campbell","tony_campbell.jpg","REP","Masculine","Black","Masculine","Black","Masculine","Black"
"415","Tony Knowles","tony_knowles.jpg","DEM","Masculine","Latino_Hispanic","Masculine","White","Masculine","White"
"416","Trent Lott","trent_lott.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"417","Troy Brown","troy_brown.jpg","DEM","Masculine","Black","Masculine","Black","Masculine","Black"
"418","Walter Mondale","walter_mondale.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"419","Wayne Allard","wayne_allard.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"420","Wendy Long","wendy_e_long.jpg","REP","Feminine","White","Feminine","White","Feminine","White"
"421","William G. Barnes","william_g_barnes.jpg","DEM","Masculine","White","Masculine","White","Masculine","White"
"422","William Roth","william_roth.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
"423","William T. Redmond","william_t_redmond.jpg","REP","Masculine","White","Masculine","White","Masculine","White"
